num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,flash_attn_latency,attention_qkv_transform
64,64,4,32768,51200,256,1,1,1,0.0013,13.395
64,64,4,32768,51200,256,1,1,1,0.0013,30.504
