num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,actual_attention_duration,actual_attention_throughput,actual_mlp_duration,actual_mlp_throughput,actual_duration,actual_throughput
16,16,4,2048,51200,256,1,1,1,,,,,,
16,16,4,2048,51200,256,1,1,1,0.0016,0.673,0.0002,0.153,0.0023,0.493
16,32,4,2048,51200,256,1,1,1,,,,,,
16,16,4,2048,51200,256,1,1,1,,,,,,
16,16,4,2048,51200,256,1,1,1,,,,,,
16,16,4,2048,51200,256,1,1,1,,,,,,
16,16,4,2048,51200,256,1,1,1,0.0011,0.962,0.0002,0.223,0.0014,0.796
16,32,4,2048,51200,256,1,1,1,,,,,,
16,16,4,2048,51200,256,1,1,1,,,,,,
16,16,4,2048,51200,256,1,1,1,,,,,,
16,16,4,2048,51200,256,1,1,1,0.0011,0.95,0.0001,0.235,0.0014,0.789
16,32,4,2048,51200,256,1,1,1,0.0011,2.102,0.0001,0.95,0.0014,1.65
16,48,4,2048,51200,256,1,1,1,0.0011,3.174,0.0001,2.127,0.0014,2.587
16,64,4,2048,51200,256,1,1,1,0.0011,4.245,0.0001,3.863,0.0014,3.575
16,80,4,2048,51200,256,1,1,1,0.0011,5.371,0.0001,5.904,0.0014,4.637
16,96,4,2048,51200,256,1,1,1,0.0011,6.529,0.0001,8.469,0.0014,5.82
16,112,4,2048,51200,256,1,1,1,0.0011,7.657,0.0001,11.798,0.0014,6.981
16,128,4,2048,51200,256,1,1,1,0.0011,8.873,0.0001,15.183,0.0014,8.291
16,144,4,2048,51200,256,1,1,1,0.0011,9.82,0.0001,19.57,0.0014,9.663
16,160,4,2048,51200,256,1,1,1,0.0011,10.997,0.0001,24.189,0.0014,10.944
16,176,4,2048,51200,256,1,1,1,0.0011,12.146,0.0001,28.918,0.0014,12.466
16,192,4,2048,51200,256,1,1,1,0.0011,13.348,0.0001,34.104,0.0014,14.038
16,208,4,2048,51200,256,1,1,1,0.0012,14.555,0.0001,40.002,0.0014,15.751
16,224,4,2048,51200,256,1,1,1,0.0012,15.751,0.0002,43.728,0.0015,17.032
16,240,4,2048,51200,256,1,1,1,0.0012,17.047,0.0001,51.682,0.0014,19.282
16,256,4,2048,51200,256,1,1,1,0.0012,18.245,0.0002,52.92,0.0015,20.079
16,272,4,2048,51200,256,1,1,1,0.0012,19.045,0.0002,61.687,0.0015,21.785
16,288,4,2048,51200,256,1,1,1,0.0012,20.588,0.0002,56.155,0.0016,22.537
16,304,4,2048,51200,256,1,1,1,0.0012,21.609,0.0002,64.268,0.0015,25.613
16,320,4,2048,51200,256,1,1,1,0.0012,22.748,0.0002,65.767,0.0016,25.585
16,336,4,2048,51200,256,1,1,1,0.0012,24.232,0.0002,71.805,0.0016,28.252
16,352,4,2048,51200,256,1,1,1,0.0012,25.464,0.0002,80.271,0.0017,28.981
16,368,4,2048,51200,256,1,1,1,0.0013,26.848,0.0002,78.96,0.0016,31.675
16,384,4,2048,51200,256,1,1,1,0.0013,27.701,0.0002,92.884,0.0017,31.69
16,400,4,2048,51200,256,1,1,1,0.0013,28.982,0.0002,88.532,0.0018,32.724
16,416,4,2048,51200,256,1,1,1,0.0013,29.312,0.0002,91.492,0.0018,34.061
16,432,4,2048,51200,256,1,1,1,0.0013,31.211,0.0002,99.403,0.0017,37.979
16,448,4,2048,51200,256,1,1,1,0.0013,33.08,0.0002,107.462,0.0017,39.927
16,464,4,2048,51200,256,1,1,1,0.0013,34.083,0.0003,99.196,0.0019,38.507
16,480,4,2048,51200,256,1,1,1,0.0014,34.79,0.0003,104.712,0.0019,40.013
16,496,4,2048,51200,256,1,1,1,0.0014,36.014,0.0003,107.543,0.002,41.77
16,512,4,2048,51200,256,1,1,1,0.0013,38.209,0.0003,116.806,0.0019,45.047
16,528,4,2048,51200,256,1,1,1,0.0014,37.788,0.0004,100.453,0.002,45.016
16,544,4,2048,51200,256,1,1,1,0.0015,38.325,0.0004,100.219,0.0021,44.477
16,560,4,2048,51200,256,1,1,1,0.0014,40.785,0.0004,108.214,0.0022,45.567
16,576,4,2048,51200,256,1,1,1,0.0014,43.394,0.0004,108.24,0.002,51.791
16,592,4,2048,51200,256,1,1,1,0.0015,42.971,0.0004,118.319,0.0022,49.432
16,608,4,2048,51200,256,1,1,1,0.0015,42.87,0.0004,116.607,0.0022,51.433
16,624,4,2048,51200,256,1,1,1,0.0015,44.731,0.0004,120.642,0.0023,51.447
16,640,4,2048,51200,256,1,1,1,0.0015,46.459,0.0004,121.75,0.0023,54.097
16,656,4,2048,51200,256,1,1,1,0.0016,46.109,0.0005,122.279,0.0024,53.234
16,672,4,2048,51200,256,1,1,1,0.0017,45.137,0.0005,118.078,0.0025,53.411
16,688,4,2048,51200,256,1,1,1,0.0016,47.671,0.0005,122.419,0.0025,56.007
16,704,4,2048,51200,256,1,1,1,0.0017,47.123,0.0005,132.38,0.0026,56.246
16,720,4,2048,51200,256,1,1,1,0.0017,49.241,0.0006,122.844,0.0025,59.019
16,736,4,2048,51200,256,1,1,1,0.0018,46.459,0.0005,134.758,0.0026,60.293
16,752,4,2048,51200,256,1,1,1,0.0017,50.523,0.0006,130.496,0.0027,60.968
16,768,4,2048,51200,256,1,1,1,0.0017,52.553,0.0006,137.797,0.0025,66.009
16,784,4,2048,51200,256,1,1,1,0.0018,51.629,0.0006,129.308,0.0028,62.197
16,800,4,2048,51200,256,1,1,1,0.0018,51.84,0.0006,129.087,0.0028,63.071
16,816,4,2048,51200,256,1,1,1,0.0019,52.832,0.0007,131.091,0.0028,65.225
16,832,4,2048,51200,256,1,1,1,0.0019,52.623,0.0006,141.767,0.0029,65.317
16,848,4,2048,51200,256,1,1,1,0.0019,54.779,0.0007,136.553,0.0029,67.908
16,864,4,2048,51200,256,1,1,1,0.002,53.925,0.0007,139.142,0.003,69.32
16,880,4,2048,51200,256,1,1,1,0.0019,56.48,0.0007,148.482,0.003,70.547
16,896,4,2048,51200,256,1,1,1,0.0018,63.928,0.0007,144.638,0.0029,75.541
16,912,4,2048,51200,256,1,1,1,0.002,57.981,0.0007,149.275,0.0031,72.71
16,928,4,2048,51200,256,1,1,1,0.0022,53.854,0.0007,152.339,0.0031,73.889
16,944,4,2048,51200,256,1,1,1,0.0021,58.541,0.0008,155.29,0.0032,75.157
16,960,4,2048,51200,256,1,1,1,0.0021,58.527,0.0008,145.132,0.0033,75.291
16,976,4,2048,51200,256,1,1,1,0.0021,59.554,0.0008,154.433,0.0034,74.965
16,992,4,2048,51200,256,1,1,1,0.0023,57.472,0.0008,158.659,0.0033,77.641
16,1008,4,2048,51200,256,1,1,1,0.0023,58.347,0.0008,157.005,0.0034,79.06
16,1024,4,2048,51200,256,1,1,1,0.002,68.725,0.0009,157.744,0.0032,85.009
16,1040,4,2048,51200,256,1,1,1,0.0022,64.1,0.0009,153.189,0.0037,77.145
16,1056,4,2048,51200,256,1,1,1,0.0023,62.339,0.001,151.42,0.0036,80.313
16,1072,4,2048,51200,256,1,1,1,0.0023,65.039,0.0009,161.27,0.0038,79.26
16,1088,4,2048,51200,256,1,1,1,0.0023,65.623,0.0011,141.741,0.0037,83.279
16,1104,4,2048,51200,256,1,1,1,0.0023,66.7,0.0011,151.902,0.0039,80.128
