num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,flash_attn_latency,attention_qkv_transform,attention_score,attention_over_value,attention_softmax,attention_linear_projection,mlp_h_to_4h
64,64,4,2048,51200,256,1,1,1,0.0005,3.447,0.952,0.953,0.0496,1.332,5.474
64,64,4,2048,51200,256,1,1,1,0.0006,4.001,0.995,0.951,0.0478,1.261,5.131
