num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,flash_attn_latency,attention_qkv_transform,attention_score,attention_over_value,attention_softmax,attention_linear_projection,mlp_h_to_4h
64,64,4,4096,51200,256,1,1,1,0.0005,9.218,1.015,0.978,0.2092,3.001,12.114
64,64,4,4096,51200,256,1,1,1,0.0006,7.767,1.022,0.978,0.2031,2.082,11.092
