num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,flash_attn_latency,attention_qkv_transform,attention_score,attention_over_value
64,64,4,8192,51200,256,1,1,1,0.0006,13.124,1.057,0.979
64,64,4,8192,51200,256,1,1,1,0.0006,16.368,1.044,0.981
