num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,actual_attention_duration,actual_attention_throughput,actual_mlp_duration,actual_mlp_throughput,actual_duration,actual_throughput
48,48,4,2048,51200,256,1,1,1,,,,,,
48,48,4,2048,51200,256,1,1,1,0.0026,1.273,0.0004,0.792,0.0026,1.438
48,96,4,2048,51200,256,1,1,1,,,,,,
48,48,4,2048,51200,256,1,1,1,,,,,,
48,48,4,2048,51200,256,1,1,1,,,,,,
48,48,4,2048,51200,256,1,1,1,,,,,,
48,48,4,2048,51200,256,1,1,1,0.0023,1.461,0.0001,2.109,0.0025,1.485
48,96,4,2048,51200,256,1,1,1,,,,,,
48,48,4,2048,51200,256,1,1,1,,,,,,
48,48,4,2048,51200,256,1,1,1,,,,,,
48,48,4,2048,51200,256,1,1,1,0.0023,1.465,0.0002,1.99,0.0025,1.495
48,96,4,2048,51200,256,1,1,1,0.002,3.486,0.0002,7.905,0.0022,3.741
48,144,4,2048,51200,256,1,1,1,0.0021,5.339,0.0001,18.197,0.0023,6.05
48,192,4,2048,51200,256,1,1,1,0.0021,7.338,0.0001,32.264,0.0024,8.218
48,240,4,2048,51200,256,1,1,1,0.0021,9.406,0.0001,54.33,0.0024,11.606
48,288,4,2048,51200,256,1,1,1,0.0021,11.679,0.0002,55.878,0.0026,13.957
48,336,4,2048,51200,256,1,1,1,0.0022,13.817,0.0002,74.136,0.0025,17.935
48,384,4,2048,51200,256,1,1,1,0.0022,15.863,0.0002,81.371,0.0027,20.473
48,432,4,2048,51200,256,1,1,1,0.0023,18.274,0.0002,98.507,0.0028,23.799
48,480,4,2048,51200,256,1,1,1,0.0024,20.094,0.0003,98.253,0.0029,26.648
48,528,4,2048,51200,256,1,1,1,0.0024,22.663,0.0004,104.093,0.0031,29.467
48,576,4,2048,51200,256,1,1,1,0.0024,25.457,0.0004,106.983,0.0031,33.613
48,624,4,2048,51200,256,1,1,1,0.0025,27.21,0.0004,120.369,0.0033,35.872
48,672,4,2048,51200,256,1,1,1,0.0026,28.287,0.0005,115.317,0.0036,37.31
48,720,4,2048,51200,256,1,1,1,0.0028,29.724,0.0006,120.714,0.0035,43.011
48,768,4,2048,51200,256,1,1,1,0.0028,32.237,0.0006,137.777,0.0038,43.997
48,816,4,2048,51200,256,1,1,1,0.0029,33.733,0.0007,127.461,0.0038,48.925
48,864,4,2048,51200,256,1,1,1,0.0032,33.933,0.0007,131.696,0.0041,49.618
48,912,4,2048,51200,256,1,1,1,0.0031,37.587,0.0007,147.994,0.0042,53.7
48,960,4,2048,51200,256,1,1,1,0.0032,38.696,0.0009,137.518,0.0044,56.38
48,1008,4,2048,51200,256,1,1,1,0.0032,41.599,0.0009,150.844,0.0043,61.837
48,1056,4,2048,51200,256,1,1,1,0.0035,41.675,0.001,151.899,0.0049,59.448
48,1104,4,2048,51200,256,1,1,1,0.0033,46.32,0.0011,148.723,0.0049,63.476
48,1152,4,2048,51200,256,1,1,1,0.0031,52.585,0.0011,156.562,0.0048,70.67
48,1200,4,2048,51200,256,1,1,1,0.0036,48.707,0.0013,150.908,0.0054,67.398
48,1248,4,2048,51200,256,1,1,1,0.0037,49.965,0.0014,142.807,0.0054,72.827
48,1296,4,2048,51200,256,1,1,1,0.0038,51.357,0.0017,132.563,0.0059,70.286
48,1344,4,2048,51200,256,1,1,1,0.0039,53.885,0.0014,169.201,0.0059,75.258
48,1392,4,2048,51200,256,1,1,1,0.004,55.306,0.0017,152.827,0.0064,73.982
48,1440,4,2048,51200,256,1,1,1,0.0042,55.18,0.0016,170.048,0.0066,75.851
48,1488,4,2048,51200,256,1,1,1,0.0042,58.611,0.0018,159.038,0.0068,78.976
48,1536,4,2048,51200,256,1,1,1,0.0039,65.986,0.0019,166.608,0.0064,88.825
48,1584,4,2048,51200,256,1,1,1,0.0042,64.597,0.0024,135.061,0.0068,88.792
48,1632,4,2048,51200,256,1,1,1,0.0046,61.417,0.0024,143.361,0.0072,88.217
48,1680,4,2048,51200,256,1,1,1,0.0045,66.495,0.0027,136.175,0.0071,93.475
48,1728,4,2048,51200,256,1,1,1,0.0046,67.502,0.0027,142.652,0.0072,97.092
48,1776,4,2048,51200,256,1,1,1,0.0047,69.405,0.0029,143.718,0.0077,96.545
48,1824,4,2048,51200,256,1,1,1,0.0049,70.011,0.0029,148.328,0.0091,85.791
48,1872,4,2048,51200,256,1,1,1,0.0051,69.993,0.0026,173.514,0.0091,89.792
48,1920,4,2048,51200,256,1,1,1,0.0047,79.552,0.0035,137.524,0.0096,88.733
48,1968,4,2048,51200,256,1,1,1,0.0052,73.722,0.0033,155.624,0.0089,100.118
48,2016,4,2048,51200,256,1,1,1,0.0056,72.323,0.0036,148.908,0.0086,108.453
48,2064,4,2048,51200,256,1,1,1,0.0056,74.218,0.0039,143.362,0.0096,101.522
48,2112,4,2048,51200,256,1,1,1,0.0057,76.209,0.0038,155.143,0.0098,103.631
48,2160,4,2048,51200,256,1,1,1,0.0061,73.321,0.0043,142.396,0.0113,94.324
48,2208,4,2048,51200,256,1,1,1,0.006,77.454,0.0034,186.933,0.0103,106.988
48,2256,4,2048,51200,256,1,1,1,0.0059,82.596,0.0045,149.305,0.0127,90.793
48,2304,4,2048,51200,256,1,1,1,0.0056,89.184,0.0042,164.697,0.0128,93.454
48,2352,4,2048,51200,256,1,1,1,0.0065,80.516,0.0049,148.426,0.0115,108.682
48,2400,4,2048,51200,256,1,1,1,0.0068,79.77,0.0049,154.248,0.0116,111.886
48,2448,4,2048,51200,256,1,1,1,0.0071,78.68,0.0053,147.168,0.012,111.754
48,2496,4,2048,51200,256,1,1,1,0.0068,84.288,0.0051,158.655,0.0129,107.549
48,2544,4,2048,51200,256,1,1,1,0.0077,76.996,0.0055,155.28,0.014,102.777
