num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,flash_attn_latency,mlp_4h_to_h,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
56,56,4,2048,51200,256,1,1,1,,,,,,,,
56,56,4,2048,51200,256,1,1,1,0.0006,2.933,0.0006,6.895,0.0001,5.865,0.0006,6.783
56,112,4,2048,51200,256,1,1,1,0.0006,16.006,0.0006,14.1,0.0001,32.013,0.0006,15.532
56,168,4,2048,51200,256,1,1,1,0.0006,36.817,0.0006,23.041,0.0001,73.634,0.0006,27.141
56,224,4,2048,51200,256,1,1,1,0.0006,49.168,0.0006,30.628,0.0001,98.335,0.0007,37.437
56,280,4,2048,51200,256,1,1,1,0.0006,75.559,0.0006,41.035,0.0001,151.118,0.0007,52.532
56,336,4,2048,51200,256,1,1,1,0.0006,80.212,0.0006,50.882,0.0001,160.424,0.0007,65.724
56,392,4,2048,51200,256,1,1,1,0.0006,117.317,0.0006,65.996,0.0001,234.635,0.0006,88.72
56,448,4,2048,51200,256,1,1,1,0.0006,136.672,0.0006,77.596,0.0001,273.345,0.0007,106.437
56,504,4,2048,51200,256,1,1,1,0.0006,144.206,0.0006,88.569,0.0001,288.413,0.0007,122.234
56,560,4,2048,51200,256,1,1,1,0.0006,137.971,0.0006,94.47,0.0001,275.941,0.0008,129.837
56,616,4,2048,51200,256,1,1,1,0.0006,148.165,0.0006,102.742,0.0002,296.33,0.0008,142.745
56,672,4,2048,51200,256,1,1,1,0.0007,149.651,0.0007,108.337,0.0002,299.302,0.0009,150.904
56,728,4,2048,51200,256,1,1,1,0.0009,179.778,0.0009,96.782,0.0002,359.555,0.0011,144.817
56,784,4,2048,51200,256,1,1,1,0.0008,180.67,0.0008,121.527,0.0002,361.339,0.001,175.68
56,840,4,2048,51200,256,1,1,1,0.0008,175.692,0.0008,125.814,0.0003,351.385,0.0011,180.847
56,896,4,2048,51200,256,1,1,1,0.0009,179.054,0.0009,132.278,0.0003,358.109,0.0011,190.174
56,952,4,2048,51200,256,1,1,1,0.0009,200.066,0.0009,135.013,0.0003,400.132,0.0012,200.061
56,1008,4,2048,51200,256,1,1,1,0.0009,165.974,0.0009,141.645,0.0004,331.948,0.0013,198.247
56,1064,4,2048,51200,256,1,1,1,0.001,198.25,0.001,144.132,0.0004,396.5,0.0014,212.354
56,1120,4,2048,51200,256,1,1,1,0.0011,204.133,0.0011,149.58,0.0004,408.266,0.0015,221.19
56,1176,4,2048,51200,256,1,1,1,0.0011,222.712,0.0011,153.527,0.0004,445.423,0.0015,232.125
56,1232,4,2048,51200,256,1,1,1,0.0011,225.827,0.0011,159.356,0.0004,451.653,0.0016,240.663
56,1288,4,2048,51200,256,1,1,1,0.0012,205.412,0.0012,164.617,0.0005,410.824,0.0017,240.61
56,1344,4,2048,51200,256,1,1,1,0.0012,199.535,0.0012,168.706,0.0006,399.07,0.0018,243.405
56,1400,4,2048,51200,256,1,1,1,0.0013,220.282,0.0013,175.33,0.0006,440.563,0.0019,258.859
56,1456,4,2048,51200,256,1,1,1,0.0013,227.34,0.0013,179.481,0.0006,454.68,0.0019,266.639
56,1512,4,2048,51200,256,1,1,1,0.0014,223.459,0.0014,183.479,0.0007,446.918,0.002,270.059
56,1568,4,2048,51200,256,1,1,1,0.0014,214.93,0.0014,184.038,0.0007,429.859,0.0022,267.921
56,1624,4,2048,51200,256,1,1,1,0.0015,229.259,0.0015,190.095,0.0008,458.518,0.0022,280.581
56,1680,4,2048,51200,256,1,1,1,0.0015,213.669,0.0015,192.33,0.0009,427.338,0.0024,276.62
56,1736,4,2048,51200,256,1,1,1,0.0016,230.0,0.0016,199.041,0.0009,460.0,0.0024,291.02
56,1792,4,2048,51200,256,1,1,1,0.0017,205.762,0.0017,199.6,0.001,411.524,0.0027,280.488
56,1848,4,2048,51200,256,1,1,1,0.0017,209.264,0.0017,207.635,0.0011,418.528,0.0027,289.812
56,1904,4,2048,51200,256,1,1,1,0.0018,213.576,0.0018,206.781,0.0011,427.152,0.0029,291.921
56,1960,4,2048,51200,256,1,1,1,0.0018,230.08,0.0018,216.934,0.0011,460.161,0.0029,309.956
56,2016,4,2048,51200,256,1,1,1,0.0019,214.139,0.0019,215.642,0.0012,428.279,0.0031,300.784
56,2072,4,2048,51200,256,1,1,1,0.0019,227.621,0.0019,224.127,0.0012,455.243,0.0031,315.93
56,2128,4,2048,51200,256,1,1,1,0.002,226.253,0.002,222.234,0.0013,452.507,0.0033,314.05
56,2184,4,2048,51200,256,1,1,1,0.002,222.066,0.002,235.005,0.0014,444.131,0.0034,322.58
56,2240,4,2048,51200,256,1,1,1,0.0021,213.639,0.0021,233.335,0.0015,427.278,0.0036,316.424
56,2296,4,2048,51200,256,1,1,1,0.002,257.177,0.002,244.318,0.0013,514.353,0.0034,351.386
56,2352,4,2048,51200,256,1,1,1,0.0022,241.551,0.0022,240.178,0.0015,483.102,0.0037,339.591
