num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,flash_attn_latency,mlp_4h_to_h,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
40,40,4,2048,51200,256,1,1,1,,,,,,,,
40,40,4,2048,51200,256,1,1,1,0.0005,1.419,0.0005,5.086,0.0001,2.837,0.0006,4.819
40,80,4,2048,51200,256,1,1,1,0.0009,2.54,0.0009,6.197,0.0002,5.08,0.0011,6.029
40,120,4,2048,51200,256,1,1,1,0.0005,12.288,0.0005,16.495,0.0001,24.576,0.0006,17.492
40,160,4,2048,51200,256,1,1,1,0.0006,32.819,0.0006,21.723,0.0001,65.639,0.0006,25.329
40,200,4,2048,51200,256,1,1,1,0.0006,36.088,0.0006,29.148,0.0001,72.176,0.0006,34.165
40,240,4,2048,51200,256,1,1,1,0.0007,52.429,0.0007,29.638,0.0001,104.858,0.0007,36.929
40,280,4,2048,51200,256,1,1,1,0.0006,64.29,0.0006,40.606,0.0001,128.579,0.0007,51.113
40,320,4,2048,51200,256,1,1,1,0.0006,81.049,0.0006,49.595,0.0001,162.099,0.0007,63.901
40,360,4,2048,51200,256,1,1,1,0.0006,108.446,0.0006,58.812,0.0001,216.891,0.0006,78.355
40,400,4,2048,51200,256,1,1,1,0.0008,127.626,0.0008,48.011,0.0001,255.252,0.0009,67.817
40,440,4,2048,51200,256,1,1,1,0.0006,121.81,0.0006,75.699,0.0001,243.621,0.0007,102.126
40,480,4,2048,51200,256,1,1,1,0.0006,156.245,0.0006,81.798,0.0001,312.49,0.0007,114.824
40,520,4,2048,51200,256,1,1,1,0.0006,119.607,0.0006,87.989,0.0001,239.213,0.0007,118.017
40,560,4,2048,51200,256,1,1,1,0.0007,127.242,0.0007,77.519,0.0002,254.484,0.0009,108.88
40,600,4,2048,51200,256,1,1,1,0.0007,149.398,0.0007,95.999,0.0002,298.796,0.0008,134.906
40,640,4,2048,51200,256,1,1,1,0.0007,118.025,0.0007,102.541,0.0002,236.049,0.0009,135.98
40,680,4,2048,51200,256,1,1,1,0.0007,167.092,0.0007,109.534,0.0002,334.184,0.0009,156.116
40,720,4,2048,51200,256,1,1,1,0.0007,169.937,0.0007,114.244,0.0002,339.875,0.0009,163.262
40,760,4,2048,51200,256,1,1,1,0.0008,163.67,0.0008,118.047,0.0002,327.34,0.001,167.239
40,800,4,2048,51200,256,1,1,1,0.0008,180.478,0.0008,124.002,0.0002,360.956,0.001,178.872
40,840,4,2048,51200,256,1,1,1,0.0008,175.054,0.0008,126.859,0.0003,350.108,0.0011,181.818
40,880,4,2048,51200,256,1,1,1,0.0008,194.897,0.0008,130.017,0.0003,389.793,0.0011,191.237
40,920,4,2048,51200,256,1,1,1,0.0009,198.56,0.0009,131.72,0.0003,397.12,0.0012,195.133
40,960,4,2048,51200,256,1,1,1,0.0009,169.619,0.0009,136.927,0.0004,339.238,0.0013,193.754
40,1000,4,2048,51200,256,1,1,1,0.001,209.246,0.001,138.657,0.0003,418.493,0.0013,207.677
40,1040,4,2048,51200,256,1,1,1,0.001,184.324,0.001,140.812,0.0004,368.649,0.0014,204.137
40,1080,4,2048,51200,256,1,1,1,0.001,200.486,0.001,144.942,0.0004,400.971,0.0014,214.238
40,1120,4,2048,51200,256,1,1,1,0.0011,202.046,0.0011,144.706,0.0004,404.091,0.0015,215.329
40,1160,4,2048,51200,256,1,1,1,0.0011,214.375,0.0011,153.267,0.0004,428.75,0.0015,229.087
40,1200,4,2048,51200,256,1,1,1,0.0011,217.687,0.0011,156.252,0.0004,435.375,0.0016,234.175
40,1240,4,2048,51200,256,1,1,1,0.0012,217.962,0.0012,159.475,0.0005,435.924,0.0016,238.564
40,1280,4,2048,51200,256,1,1,1,0.0012,223.696,0.0012,161.99,0.0005,447.392,0.0017,243.869
40,1320,4,2048,51200,256,1,1,1,0.0012,212.914,0.0012,166.262,0.0005,425.828,0.0018,245.543
40,1360,4,2048,51200,256,1,1,1,0.0013,217.606,0.0013,168.97,0.0006,435.213,0.0018,250.702
40,1400,4,2048,51200,256,1,1,1,0.0013,205.271,0.0013,174.702,0.0006,410.543,0.0019,252.425
40,1440,4,2048,51200,256,1,1,1,0.0013,202.322,0.0013,174.051,0.0007,404.643,0.002,251.197
40,1480,4,2048,51200,256,1,1,1,0.0013,225.736,0.0013,181.15,0.0006,451.472,0.002,268.117
40,1520,4,2048,51200,256,1,1,1,0.0014,231.238,0.0014,182.537,0.0007,462.475,0.002,272.254
40,1560,4,2048,51200,256,1,1,1,0.0014,208.951,0.0014,187.265,0.0008,417.903,0.0022,268.241
40,1600,4,2048,51200,256,1,1,1,0.0015,229.423,0.0015,187.767,0.0007,458.845,0.0022,278.011
40,1640,4,2048,51200,256,1,1,1,0.0015,227.264,0.0015,195.32,0.0008,454.527,0.0022,285.01
40,1680,4,2048,51200,256,1,1,1,0.0015,219.157,0.0015,194.369,0.0008,438.315,0.0024,281.035
40,1720,4,2048,51200,256,1,1,1,0.0015,236.973,0.0015,200.892,0.0008,473.946,0.0024,295.64
40,1760,4,2048,51200,256,1,1,1,0.0016,233.725,0.0016,199.203,0.0009,467.45,0.0025,293.129
40,1800,4,2048,51200,256,1,1,1,0.0016,223.738,0.0016,204.919,0.0009,447.477,0.0026,294.326
40,1840,4,2048,51200,256,1,1,1,0.0017,222.662,0.0017,203.718,0.001,445.325,0.0027,293.16
