num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,flash_attn_latency,mlp_4h_to_h,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
48,48,4,2048,51200,256,1,1,1,,,,,,,,
48,48,4,2048,51200,256,1,1,1,0.0005,2.016,0.0005,6.145,0.0001,4.033,0.0006,5.891
48,96,4,2048,51200,256,1,1,1,0.0006,11.07,0.0006,12.653,0.0001,22.14,0.0006,13.5
48,144,4,2048,51200,256,1,1,1,0.0006,31.055,0.0006,19.627,0.0,62.109,0.0006,22.698
48,192,4,2048,51200,256,1,1,1,0.0006,34.239,0.0006,26.738,0.0001,68.478,0.0006,31.32
48,240,4,2048,51200,256,1,1,1,0.0005,52.024,0.0005,36.322,0.0001,104.048,0.0006,44.249
48,288,4,2048,51200,256,1,1,1,0.0006,80.698,0.0006,41.886,0.0001,161.396,0.0007,54.11
48,336,4,2048,51200,256,1,1,1,0.0006,84.384,0.0006,52.159,0.0001,168.767,0.0007,67.607
48,384,4,2048,51200,256,1,1,1,0.0006,119.482,0.0006,62.339,0.0001,238.963,0.0006,84.341
48,432,4,2048,51200,256,1,1,1,0.0007,124.093,0.0007,60.083,0.0001,248.186,0.0008,83.711
48,480,4,2048,51200,256,1,1,1,0.0006,151.723,0.0006,82.817,0.0001,303.446,0.0007,115.55
48,528,4,2048,51200,256,1,1,1,0.0006,121.738,0.0006,89.375,0.0002,243.475,0.0008,120.172
48,576,4,2048,51200,256,1,1,1,0.0006,136.785,0.0006,97.291,0.0002,273.569,0.0008,133.226
48,624,4,2048,51200,256,1,1,1,0.0007,156.132,0.0007,103.67,0.0002,312.263,0.0008,145.578
48,672,4,2048,51200,256,1,1,1,0.0007,164.198,0.0007,108.881,0.0002,328.396,0.0009,154.556
48,720,4,2048,51200,256,1,1,1,0.0007,167.458,0.0007,110.028,0.0002,334.916,0.001,158.014
48,768,4,2048,51200,256,1,1,1,0.0008,188.891,0.0008,120.016,0.0002,377.783,0.001,175.184
48,816,4,2048,51200,256,1,1,1,0.0008,157.105,0.0008,122.752,0.0003,314.21,0.0011,172.022
48,864,4,2048,51200,256,1,1,1,0.0008,167.68,0.0008,127.864,0.0003,335.36,0.0011,181.541
48,912,4,2048,51200,256,1,1,1,0.0009,186.471,0.0009,132.188,0.0003,372.942,0.0012,192.459
48,960,4,2048,51200,256,1,1,1,0.0009,167.4,0.0009,136.735,0.0004,334.8,0.0013,192.842
48,1008,4,2048,51200,256,1,1,1,0.001,184.559,0.001,138.925,0.0004,369.117,0.0013,201.51
48,1056,4,2048,51200,256,1,1,1,0.001,200.114,0.001,142.32,0.0004,400.228,0.0014,210.739
48,1104,4,2048,51200,256,1,1,1,0.0011,206.122,0.0011,145.999,0.0004,412.244,0.0014,217.545
48,1152,4,2048,51200,256,1,1,1,0.0011,193.48,0.0011,151.765,0.0004,386.96,0.0015,220.776
48,1200,4,2048,51200,256,1,1,1,0.0011,217.929,0.0011,155.441,0.0004,435.857,0.0016,233.37
48,1248,4,2048,51200,256,1,1,1,0.0012,226.145,0.0012,159.841,0.0005,452.289,0.0016,241.629
48,1296,4,2048,51200,256,1,1,1,0.0012,194.123,0.0012,162.292,0.0006,388.245,0.0018,234.224
48,1344,4,2048,51200,256,1,1,1,0.0012,194.781,0.0012,167.116,0.0006,389.562,0.0019,239.964
48,1392,4,2048,51200,256,1,1,1,0.0013,214.911,0.0013,173.055,0.0006,429.822,0.0019,254.428
48,1440,4,2048,51200,256,1,1,1,0.0013,201.721,0.0013,176.118,0.0007,403.442,0.002,252.92
48,1488,4,2048,51200,256,1,1,1,0.0014,224.068,0.0014,177.459,0.0006,448.135,0.002,263.894
48,1536,4,2048,51200,256,1,1,1,0.0014,231.354,0.0014,181.406,0.0007,462.709,0.0021,271.407
48,1584,4,2048,51200,256,1,1,1,0.0015,197.846,0.0015,185.607,0.0008,395.691,0.0023,261.862
48,1632,4,2048,51200,256,1,1,1,0.0015,217.535,0.0015,190.499,0.0008,435.07,0.0023,276.06
48,1680,4,2048,51200,256,1,1,1,0.0016,211.654,0.0016,191.341,0.0009,423.308,0.0024,274.771
48,1728,4,2048,51200,256,1,1,1,0.0016,232.19,0.0016,195.497,0.0008,464.379,0.0024,288.487
48,1776,4,2048,51200,256,1,1,1,0.0016,241.058,0.0016,199.536,0.0009,482.116,0.0025,296.821
48,1824,4,2048,51200,256,1,1,1,0.0017,228.512,0.0017,200.553,0.001,457.023,0.0027,292.84
48,1872,4,2048,51200,256,1,1,1,0.0017,214.19,0.0017,204.341,0.0011,428.38,0.0028,289.801
48,1920,4,2048,51200,256,1,1,1,0.0018,154.875,0.0018,208.666,0.0016,309.749,0.0033,255.944
48,1968,4,2048,51200,256,1,1,1,0.0018,238.932,0.0018,210.889,0.0011,477.864,0.0029,308.952
48,2016,4,2048,51200,256,1,1,1,0.0019,195.999,0.0019,214.207,0.0014,391.998,0.0032,288.917
48,2064,4,2048,51200,256,1,1,1,0.0019,225.925,0.0019,216.363,0.0012,451.851,0.0032,308.27
48,2112,4,2048,51200,256,1,1,1,0.002,234.116,0.002,220.837,0.0012,468.231,0.0032,316.945
48,2160,4,2048,51200,256,1,1,1,0.002,205.255,0.002,225.812,0.0015,410.511,0.0035,304.747
48,2208,4,2048,51200,256,1,1,1,0.002,236.811,0.002,229.697,0.0013,473.622,0.0034,326.913
48,2256,4,2048,51200,256,1,1,1,0.0021,224.969,0.0021,232.565,0.0015,449.938,0.0036,322.896
48,2304,4,2048,51200,256,1,1,1,0.0021,202.15,0.0021,237.41,0.0017,404.3,0.0038,312.251
48,2352,4,2048,51200,256,1,1,1,0.0022,225.28,0.0022,234.938,0.0016,450.56,0.0038,325.674
48,2400,4,2048,51200,256,1,1,1,0.0022,225.306,0.0022,243.864,0.0017,450.613,0.0039,333.053
48,2448,4,2048,51200,256,1,1,1,0.0023,222.016,0.0023,246.408,0.0018,444.032,0.004,333.165
48,2496,4,2048,51200,256,1,1,1,0.0023,239.27,0.0023,250.249,0.0017,478.54,0.004,347.461
48,2544,4,2048,51200,256,1,1,1,0.0023,246.94,0.0023,255.291,0.0017,493.881,0.004,356.533
48,2592,4,2048,51200,256,1,1,1,0.0024,216.675,0.0024,259.054,0.002,433.35,0.0044,339.492
48,2640,4,2048,51200,256,1,1,1,0.0024,226.9,0.0024,262.866,0.002,453.801,0.0044,349.734
48,2688,4,2048,51200,256,1,1,1,0.0024,207.779,0.0024,268.383,0.0023,415.558,0.0047,339.512
48,2736,4,2048,51200,256,1,1,1,0.0025,223.227,0.0025,269.453,0.0022,446.455,0.0047,352.222
48,2784,4,2048,51200,256,1,1,1,0.0025,231.863,0.0025,275.042,0.0022,463.726,0.0047,362.676
48,2832,4,2048,51200,256,1,1,1,0.0026,226.878,0.0026,278.114,0.0023,453.757,0.0049,361.328
48,2880,4,2048,51200,256,1,1,1,0.0026,182.537,0.0026,282.337,0.003,365.075,0.0056,326.431
48,2928,4,2048,51200,256,1,1,1,0.0027,217.543,0.0027,285.471,0.0026,435.086,0.0052,359.225
48,2976,4,2048,51200,256,1,1,1,0.0027,238.168,0.0027,289.155,0.0024,476.336,0.0051,377.989
48,3024,4,2048,51200,256,1,1,1,0.0027,225.151,0.0027,291.986,0.0027,450.303,0.0054,369.889
48,3072,4,2048,51200,256,1,1,1,0.0028,244.565,0.0028,296.366,0.0025,489.13,0.0053,388.146
48,3120,4,2048,51200,256,1,1,1,0.0028,200.852,0.0028,300.141,0.0032,401.704,0.006,353.911
48,3168,4,2048,51200,256,1,1,1,0.0029,218.988,0.0029,304.509,0.003,437.975,0.0059,372.897
48,3216,4,2048,51200,256,1,1,1,0.0029,227.357,0.0029,306.099,0.003,454.715,0.0059,381.186
48,3264,4,2048,51200,256,1,1,1,0.003,205.107,0.003,309.955,0.0034,410.214,0.0064,363.589
48,3312,4,2048,51200,256,1,1,1,0.003,230.135,0.003,313.183,0.0031,460.27,0.0061,388.15
48,3360,4,2048,51200,256,1,1,1,0.0031,182.494,0.0031,315.841,0.0041,364.988,0.0071,343.863
48,3408,4,2048,51200,256,1,1,1,0.0031,210.035,0.0031,318.828,0.0036,420.069,0.0067,373.355
48,3456,4,2048,51200,256,1,1,1,0.0031,208.437,0.0031,323.792,0.0038,416.875,0.0069,374.533
48,3504,4,2048,51200,256,1,1,1,0.0032,219.39,0.0032,329.493,0.0037,438.78,0.0068,388.236
48,3552,4,2048,51200,256,1,1,1,0.0032,244.029,0.0032,333.958,0.0034,488.058,0.0066,413.335
48,3600,4,2048,51200,256,1,1,1,0.0033,203.544,0.0033,332.571,0.0042,407.087,0.0075,374.29
48,3648,4,2048,51200,256,1,1,1,0.0033,214.51,0.0033,336.353,0.0041,429.02,0.0074,387.359
48,3696,4,2048,51200,256,1,1,1,0.0033,216.118,0.0033,341.442,0.0041,432.237,0.0075,391.651
