num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,flash_attn_latency,mlp_4h_to_h,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
8,8,4,2048,51200,256,1,1,1,,,,,,,,
8,8,4,2048,51200,256,1,1,1,0.0006,0.056,0.0006,0.943,0.0001,0.112,0.0006,0.847
8,16,4,2048,51200,256,1,1,1,0.0009,0.242,0.0009,1.168,0.0001,0.484,0.001,1.121
8,24,4,2048,51200,256,1,1,1,0.0008,0.719,0.0008,2.05,0.0001,1.439,0.0009,2.013
8,32,4,2048,51200,256,1,1,1,0.0006,0.869,0.0006,3.991,0.0001,1.739,0.0006,3.716
8,40,4,2048,51200,256,1,1,1,0.0007,1.745,0.0007,4.287,0.0001,3.491,0.0007,4.22
8,48,4,2048,51200,256,1,1,1,0.0006,2.142,0.0006,5.727,0.0001,4.285,0.0007,5.573
8,56,4,2048,51200,256,1,1,1,0.0006,2.514,0.0006,6.837,0.0001,5.027,0.0007,6.613
8,64,4,2048,51200,256,1,1,1,0.0006,5.023,0.0006,7.882,0.0001,10.046,0.0006,8.065
8,72,4,2048,51200,256,1,1,1,0.0006,4.342,0.0006,8.652,0.0001,8.685,0.0007,8.655
8,80,4,2048,51200,256,1,1,1,0.0006,5.865,0.0006,9.744,0.0001,11.729,0.0007,9.958
8,88,4,2048,51200,256,1,1,1,0.0006,6.213,0.0006,10.996,0.0001,12.427,0.0007,11.172
8,96,4,2048,51200,256,1,1,1,0.0006,11.597,0.0006,12.112,0.0001,23.194,0.0006,13.023
8,104,4,2048,51200,256,1,1,1,0.0006,10.161,0.0006,12.862,0.0001,20.322,0.0007,13.641
8,112,4,2048,51200,256,1,1,1,0.0006,16.337,0.0006,14.533,0.0001,32.674,0.0006,15.995
8,120,4,2048,51200,256,1,1,1,0.0006,14.351,0.0006,15.648,0.0001,28.702,0.0006,16.987
8,128,4,2048,51200,256,1,1,1,0.0006,21.103,0.0006,17.215,0.0001,42.207,0.0006,19.292
8,136,4,2048,51200,256,1,1,1,0.0006,24.758,0.0006,18.249,0.0,49.516,0.0006,20.736
8,144,4,2048,51200,256,1,1,1,0.0006,20.103,0.0006,19.433,0.0001,40.206,0.0006,21.645
8,152,4,2048,51200,256,1,1,1,0.0006,29.253,0.0006,21.06,0.0001,58.506,0.0006,24.248
8,160,4,2048,51200,256,1,1,1,0.0006,31.631,0.0006,20.659,0.0001,63.263,0.0007,24.114
8,168,4,2048,51200,256,1,1,1,0.0006,38.091,0.0006,23.184,0.0,76.182,0.0006,27.371
