num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,flash_attn_latency,mlp_4h_to_h,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
128,128,4,2048,51200,256,1,1,1,,,,,,,,
128,128,4,2048,51200,256,1,1,1,0.0005,21.544,0.0005,17.704,0.0,43.088,0.0006,19.828
128,256,4,2048,51200,256,1,1,1,0.0006,90.079,0.0006,38.081,0.0,180.158,0.0006,49.158
128,384,4,2048,51200,256,1,1,1,0.0006,125.568,0.0006,61.38,0.0001,251.135,0.0007,83.701
128,512,4,2048,51200,256,1,1,1,0.0006,171.661,0.0006,87.964,0.0001,343.323,0.0007,125.218
128,640,4,2048,51200,256,1,1,1,0.0007,157.978,0.0007,106.47,0.0002,315.955,0.0008,149.593
128,768,4,2048,51200,256,1,1,1,0.0007,188.523,0.0007,121.937,0.0002,377.046,0.0009,177.305
128,896,4,2048,51200,256,1,1,1,0.0009,180.084,0.0009,132.154,0.0003,360.168,0.0011,190.32
128,1024,4,2048,51200,256,1,1,1,0.001,222.595,0.001,143.945,0.0003,445.19,0.0013,217.549
128,1152,4,2048,51200,256,1,1,1,0.0011,197.522,0.0011,147.185,0.0004,395.045,0.0016,217.304
128,1280,4,2048,51200,256,1,1,1,0.0012,223.361,0.0012,165.997,0.0005,446.722,0.0016,248.032
128,1408,4,2048,51200,256,1,1,1,0.0013,224.531,0.0013,170.526,0.0006,449.062,0.0019,255.593
128,1536,4,2048,51200,256,1,1,1,0.0014,228.159,0.0014,183.274,0.0007,456.318,0.0021,272.073
128,1664,4,2048,51200,256,1,1,1,0.0015,229.955,0.0015,190.92,0.0008,459.911,0.0023,282.238
128,1792,4,2048,51200,256,1,1,1,0.0016,210.538,0.0016,200.548,0.001,421.075,0.0026,283.776
128,1920,4,2048,51200,256,1,1,1,0.0018,165.41,0.0018,208.61,0.0015,330.821,0.0032,263.764
128,2048,4,2048,51200,256,1,1,1,0.0019,235.26,0.0019,213.441,0.0012,470.52,0.0031,310.33
128,2176,4,2048,51200,256,1,1,1,0.002,160.923,0.002,222.805,0.0019,321.846,0.004,270.833
128,2304,4,2048,51200,256,1,1,1,0.0021,213.504,0.0021,237.401,0.0016,427.008,0.0037,319.873
128,2432,4,2048,51200,256,1,1,1,0.0022,239.497,0.0022,247.151,0.0016,478.994,0.0038,344.685
128,2560,4,2048,51200,256,1,1,1,0.0023,244.655,0.0023,257.466,0.0018,489.31,0.0041,356.955
128,2688,4,2048,51200,256,1,1,1,0.0025,198.678,0.0025,266.397,0.0024,397.355,0.0048,330.911
128,2816,4,2048,51200,256,1,1,1,0.0026,243.858,0.0026,277.335,0.0021,487.716,0.0047,373.005
128,2944,4,2048,51200,256,1,1,1,0.0027,225.372,0.0027,288.21,0.0025,450.744,0.0052,367.342
128,3072,4,2048,51200,256,1,1,1,0.0028,232.748,0.0028,297.805,0.0027,465.495,0.0054,379.923
128,3200,4,2048,51200,256,1,1,1,0.0029,232.23,0.0029,306.238,0.0029,464.46,0.0058,385.31
