num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,attention_key_value_query_transform,attention_key_query_prob,attention_prob_times_values,attention_linear_projection,mlp_h_to_4h,transformer_layer_norm,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
128,128,4,2048,51200,256,1,1,1,13.107,1.014,0.958,6.003,24.718,0.0,92.743,0.01,0.968,0.0,49.436,0.0101,1.17
128,256,4,2048,51200,256,1,1,1,92.991,2.383,1.946,24.994,78.375,0.0,162.895,0.0094,2.281,0.0001,156.751,0.0095,3.15
128,384,4,2048,51200,256,1,1,1,99.886,2.945,2.88,57.304,115.044,0.0,155.315,0.011,3.21,0.0001,230.088,0.0112,4.887
128,512,4,2048,51200,256,1,1,1,141.655,4.656,3.855,90.995,144.03,0.0001,201.574,0.0104,4.948,0.0001,288.06,0.0107,8.057
128,640,4,2048,51200,256,1,1,1,149.441,4.842,4.744,97.656,165.211,0.0001,150.085,0.0127,5.477,0.0002,330.423,0.013,9.467
128,768,4,2048,51200,256,1,1,1,165.701,6.819,5.74,119.718,173.87,0.0001,178.885,0.0121,7.438,0.0002,347.739,0.0125,13.414
128,896,4,2048,51200,256,1,1,1,164.307,6.754,6.594,149.742,182.888,0.0001,191.384,0.0133,8.499,0.0003,365.777,0.0137,15.913
128,1024,4,2048,51200,256,1,1,1,191.512,8.993,7.613,156.751,184.809,0.0001,197.743,0.0131,10.526,0.0004,369.619,0.0136,20.151
128,1152,4,2048,51200,256,1,1,1,187.571,8.589,8.384,164.922,183.58,0.0001,160.02,0.0156,10.511,0.0005,367.161,0.0163,20.698
128,1280,4,2048,51200,256,1,1,1,206.024,10.924,9.445,176.509,204.663,0.0001,171.043,0.0153,12.633,0.0005,409.325,0.0161,25.399
128,1408,4,2048,51200,256,1,1,1,208.245,10.475,10.161,168.959,204.538,0.0001,195.5,0.0159,14.148,0.0006,409.077,0.0167,28.93
128,1536,4,2048,51200,256,1,1,1,188.94,13.152,11.271,186.414,210.652,0.0001,191.446,0.016,16.063,0.0007,421.305,0.017,33.304
128,1664,4,2048,51200,256,1,1,1,206.382,12.271,11.92,191.707,214.86,0.0001,176.846,0.018,16.264,0.0008,429.72,0.0191,34.317
128,1792,4,2048,51200,256,1,1,1,208.21,15.005,13.064,194.576,220.546,0.0001,175.957,0.0182,18.189,0.001,441.091,0.0194,38.763
128,1920,4,2048,51200,256,1,1,1,204.323,14.078,13.687,185.088,204.822,0.0001,183.232,0.0193,19.207,0.0012,409.644,0.0207,41.189
128,2048,4,2048,51200,256,1,1,1,213.468,16.768,14.943,202.641,212.912,0.0002,205.144,0.0184,22.437,0.0013,425.824,0.0201,47.898
128,2176,4,2048,51200,256,1,1,1,193.777,15.112,11.382,178.062,174.898,0.0002,170.416,0.0236,19.341,0.0018,349.796,0.0258,41.687
128,2304,4,2048,51200,256,1,1,1,210.8,18.531,13.094,191.2,204.758,0.0002,178.169,0.0226,22.218,0.0017,409.516,0.0248,48.339
128,2432,4,2048,51200,256,1,1,1,219.309,19.053,12.71,209.897,224.328,0.0002,186.151,0.0235,23.489,0.0017,448.656,0.0257,51.687
128,2560,4,2048,51200,256,1,1,1,215.23,19.403,14.151,209.388,208.17,0.0002,182.958,0.0242,24.802,0.0021,416.34,0.0268,54.508
128,2688,4,2048,51200,256,1,1,1,203.365,20.953,13.937,195.012,217.427,0.0002,171.427,0.0263,24.88,0.0022,434.853,0.0289,55.305
128,2816,4,2048,51200,256,1,1,1,233.037,22.461,15.845,189.835,218.453,0.0002,174.019,0.0261,27.15,0.0024,436.906,0.029,60.342
128,2944,4,2048,51200,256,1,1,1,230.135,22.823,15.224,210.511,227.955,0.0002,144.777,0.0304,25.183,0.0025,455.91,0.0334,56.964
128,3072,4,2048,51200,256,1,1,1,226.254,23.061,16.763,215.299,220.023,0.0002,151.005,0.0305,27.079,0.0028,440.046,0.0338,61.073
128,3200,4,2048,51200,256,1,1,1,229.398,24.543,15.402,221.522,217.79,0.0002,174.797,0.0297,29.872,0.0031,435.58,0.0332,67.038
128,3328,4,2048,51200,256,1,1,1,224.916,26.255,18.618,198.537,203.265,0.0003,157.549,0.0313,30.32,0.0036,406.529,0.0354,67.862
128,3456,4,2048,51200,256,1,1,1,208.104,26.388,16.702,207.597,208.362,0.0003,195.483,0.0299,33.9,0.0038,416.724,0.0342,75.451
128,3584,4,2048,51200,256,1,1,1,205.035,26.06,19.368,211.928,197.216,0.0003,154.796,0.0343,31.538,0.0043,394.432,0.0391,70.745
128,3712,4,2048,51200,256,1,1,1,226.261,23.406,17.706,231.723,209.322,0.0003,195.568,0.0322,35.73,0.0043,418.645,0.0371,79.789
128,3840,4,2048,51200,256,1,1,1,194.799,29.774,21.41,169.953,206.383,0.0003,149.378,0.0371,33.036,0.0047,412.766,0.0423,74.714
128,3968,4,2048,51200,256,1,1,1,210.697,29.834,18.925,225.385,200.883,0.0003,148.37,0.0388,33.501,0.0051,401.767,0.0444,75.707
128,4096,4,2048,51200,256,1,1,1,219.579,32.674,22.239,226.081,214.789,0.0004,152.296,0.0379,36.245,0.0051,429.577,0.0439,81.361
128,4224,4,2048,51200,256,1,1,1,211.288,30.118,21.276,231.975,209.448,0.0005,152.12,0.0401,36.255,0.0056,418.895,0.0466,81.318
128,4352,4,2048,51200,256,1,1,1,178.146,32.294,24.331,172.426,172.213,0.0005,153.282,0.0414,37.067,0.0072,344.427,0.0495,81.068
128,4480,4,2048,51200,256,1,1,1,177.768,31.772,23.047,217.39,198.42,0.0005,178.914,0.0393,41.097,0.0066,396.84,0.0469,90.47
128,4608,4,2048,51200,256,1,1,1,174.344,36.298,24.673,190.814,208.409,0.0005,150.509,0.044,38.638,0.0067,416.817,0.0517,86.776
128,4736,4,2048,51200,256,1,1,1,215.335,33.472,24.195,227.993,207.01,0.0005,147.143,0.045,39.687,0.0071,414.02,0.0532,88.946
128,4864,4,2048,51200,256,1,1,1,232.253,36.375,27.1,234.569,188.328,0.0005,149.709,0.0444,42.251,0.0082,376.656,0.0537,92.766
128,4992,4,2048,51200,256,1,1,1,190.866,34.864,24.962,229.728,207.545,0.0005,178.023,0.0432,45.525,0.0079,415.089,0.0521,100.444
128,5120,4,2048,51200,256,1,1,1,191.897,39.768,27.692,223.111,177.579,0.0005,159.2,0.0461,44.679,0.0097,355.159,0.0568,96.754
128,5248,4,2048,51200,256,1,1,1,142.796,36.587,25.497,230.45,179.407,0.0005,179.465,0.0477,45.235,0.0101,358.813,0.0588,98.137
128,5376,4,2048,51200,256,1,1,1,189.192,39.985,29.755,210.02,137.381,0.0005,153.841,0.0497,45.414,0.0138,274.762,0.0645,93.745
128,5504,4,2048,51200,256,1,1,1,200.369,37.946,27.199,222.669,186.103,0.0005,149.914,0.0521,45.182,0.0107,372.206,0.0638,99.121
128,5632,4,2048,51200,256,1,1,1,213.783,42.449,30.271,229.554,174.528,0.0005,173.148,0.0475,51.68,0.0119,349.055,0.0605,109.378
128,5760,4,2048,51200,256,1,1,1,168.585,39.816,27.424,204.705,177.388,0.0005,148.894,0.0567,45.18,0.0123,354.777,0.07,98.736
128,5888,4,2048,51200,256,1,1,1,183.109,43.26,33.597,227.284,178.505,0.0005,151.656,0.0548,48.652,0.0127,357.01,0.0686,105.087
128,6016,4,2048,51200,256,1,1,1,178.772,41.069,20.982,215.627,180.314,0.0005,149.548,0.061,45.515,0.0132,360.628,0.0752,100.008
128,6144,4,2048,51200,256,1,1,1,180.194,45.142,33.368,224.658,168.226,0.0005,165.374,0.055,52.514,0.0147,336.452,0.0707,110.791
128,6272,4,2048,51200,256,1,1,1,219.695,36.655,28.92,215.441,153.729,0.0005,156.421,0.0584,51.311,0.0168,307.459,0.0763,106.892
128,6400,4,2048,51200,256,1,1,1,191.365,43.932,34.676,225.409,159.373,0.0005,165.095,0.0571,54.535,0.0168,318.746,0.075,113.074
128,6528,4,2048,51200,256,1,1,1,199.702,38.093,29.383,211.761,158.33,0.0005,148.392,0.0639,50.567,0.0176,316.66,0.0826,106.701
