m,n,k,throughput
32,4096,32,0.182
64,4096,64,0.761
128,4096,128,2.943
256,4096,256,11.878
512,4096,512,38.022
1024,4096,1024,113.623
2048,4096,2048,209.511
4096,4096,4096,240.614
8192,4096,8192,252.209
