num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,attention_key_value_query_transform,attention_key_query_prob,attention_prob_times_values,attention_linear_projection,mlp_h_to_4h,transformer_layer_norm,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
48,21552,4,2048,51200,256,1,1,1,144.526,67.068,45.325,125.419,144.486,0.001,150.891,0.3652,87.314,0.2107,288.973,0.578,160.511
48,21600,4,2048,51200,256,1,1,1,153.381,114.312,110.476,153.357,156.996,0.001,150.95,0.3323,96.378,0.1948,313.992,0.5291,176.1
48,21648,4,2048,51200,256,1,1,1,115.547,72.331,44.024,151.679,134.698,0.001,150.581,0.3971,80.998,0.228,269.396,0.6272,149.223
48,21696,4,2048,51200,256,1,1,1,153.006,143.743,129.552,174.647,152.381,0.001,151.582,0.3261,99.057,0.2024,304.762,0.5306,177.149
48,21744,4,2048,51200,256,1,1,1,131.543,56.614,55.119,133.637,131.884,0.001,162.957,0.3727,87.056,0.2349,263.768,0.6097,154.852
48,21792,4,2048,51200,256,1,1,1,153.925,129.953,111.299,150.999,152.718,0.001,152.69,0.3351,97.242,0.2038,305.437,0.541,175.299
48,21840,4,2048,51200,256,1,1,1,135.288,56.711,54.988,134.887,132.907,0.001,149.228,0.3803,86.062,0.2352,265.813,0.6175,154.233
48,21888,4,2048,51200,256,1,1,1,148.204,162.51,142.152,147.152,151.665,0.001,158.937,0.3374,97.399,0.207,303.33,0.5465,175.034
48,21936,4,2048,51200,256,1,1,1,135.431,71.896,46.17,132.973,136.076,0.001,153.052,0.3803,86.785,0.2317,272.153,0.6142,156.435
48,21984,4,2048,51200,256,1,1,1,152.991,124.095,111.928,148.114,155.499,0.001,152.435,0.3422,96.856,0.2037,310.999,0.548,176.082
48,22032,4,2048,51200,256,1,1,1,135.695,73.484,45.664,131.029,138.663,0.001,153.775,0.383,86.929,0.2294,277.327,0.6145,157.719
48,22080,4,2048,51200,256,1,1,1,153.526,139.356,129.237,153.17,153.828,0.001,151.0,0.3419,97.771,0.2077,307.656,0.5517,176.416
48,22128,4,2048,51200,256,1,1,1,132.957,54.043,46.329,134.526,137.658,0.001,150.302,0.3939,85.233,0.2331,275.317,0.6291,155.381
48,22176,4,2048,51200,256,1,1,1,152.716,119.811,132.58,152.169,151.782,0.001,151.08,0.3462,97.397,0.2123,303.564,0.5606,175.123
48,22224,4,2048,51200,256,1,1,1,127.127,68.931,56.697,149.155,137.238,0.0011,151.401,0.3923,86.307,0.2359,274.477,0.6303,156.434
48,22272,4,2048,51200,256,1,1,1,153.486,152.595,148.208,153.778,153.274,0.001,161.156,0.3376,100.729,0.2121,306.548,0.5518,179.465
48,22320,4,2048,51200,256,1,1,1,137.071,70.384,56.678,114.649,137.892,0.0011,149.636,0.3988,85.62,0.2368,275.783,0.6377,155.943
48,22368,4,2048,51200,256,1,1,1,152.642,114.27,110.477,152.539,153.296,0.001,154.87,0.3494,98.15,0.2139,306.593,0.5654,176.649
48,22416,4,2048,51200,256,1,1,1,134.785,73.479,56.704,134.287,134.728,0.0011,150.0,0.3934,87.53,0.2444,269.457,0.6399,156.727
48,22464,4,2048,51200,256,1,1,1,156.711,149.235,137.853,151.768,150.349,0.0011,135.498,0.3623,95.431,0.22,300.698,0.5844,172.348
48,22512,4,2048,51200,256,1,1,1,135.157,56.649,46.716,135.003,135.422,0.0011,150.933,0.4004,86.716,0.2453,270.844,0.6478,156.142
48,22560,4,2048,51200,256,1,1,1,152.712,115.979,110.544,152.203,152.595,0.0011,149.578,0.3585,97.265,0.2186,305.19,0.5792,175.38
48,22608,4,2048,51200,256,1,1,1,124.86,73.266,57.194,111.085,134.733,0.0011,149.761,0.4268,82.03,0.2486,269.465,0.6776,150.55
48,22656,4,2048,51200,256,1,1,1,152.804,152.977,136.316,138.284,152.79,0.0011,149.531,0.3636,96.707,0.2202,305.58,0.5858,174.856
48,22704,4,2048,51200,256,1,1,1,131.907,55.608,57.427,134.549,132.363,0.0011,156.668,0.4034,87.525,0.2552,264.726,0.6607,155.692
48,22752,4,2048,51200,256,1,1,1,151.508,117.364,125.02,152.132,152.243,0.0011,169.509,0.3489,101.613,0.2228,304.485,0.5738,180.017
48,22800,4,2048,51200,256,1,1,1,134.916,74.147,47.256,134.565,136.582,0.0011,149.46,0.4072,87.432,0.2494,273.163,0.6587,157.48
48,22848,4,2048,51200,256,1,1,1,154.309,152.372,139.941,137.435,152.956,0.0011,149.527,0.3672,97.344,0.2237,305.911,0.593,175.666
48,22896,4,2048,51200,256,1,1,1,134.604,74.827,47.283,132.432,140.729,0.0011,153.565,0.4079,88.0,0.2441,281.457,0.6541,159.917
48,22944,4,2048,51200,256,1,1,1,152.586,121.35,113.25,152.244,152.15,0.0011,149.861,0.3678,97.987,0.2267,304.3,0.5967,176.043
48,22992,4,2048,51200,256,1,1,1,134.679,72.862,58.93,133.12,135.848,0.0011,153.901,0.407,88.915,0.255,271.696,0.6641,158.815
48,23040,4,2048,51200,256,1,1,1,117.541,157.651,177.988,121.362,121.861,0.0011,150.604,0.4312,84.261,0.2855,243.721,0.7188,147.343
