num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,attention_key_value_query_transform,attention_key_query_prob,attention_prob_times_values,attention_linear_projection,mlp_h_to_4h,transformer_layer_norm,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
64,64,4,2048,51200,256,1,1,1,4.392,1.005,0.948,1.501,6.272,0.0,44.452,0.0057,0.8,0.0,12.544,0.0058,0.877
64,128,4,2048,51200,256,1,1,1,18.504,2.369,1.924,6.146,23.465,0.0,93.007,0.0053,1.828,0.0,46.929,0.0054,2.185
64,192,4,2048,51200,256,1,1,1,41.788,2.926,2.813,19.017,80.746,0.0,124.368,0.0059,2.61,0.0,161.492,0.006,3.373
64,256,4,2048,51200,256,1,1,1,68.362,4.644,3.822,24.315,84.414,0.0,161.077,0.0055,3.889,0.0001,168.827,0.0056,5.322
64,320,4,2048,51200,256,1,1,1,88.239,4.81,4.662,48.999,107.961,0.0,154.686,0.0064,4.43,0.0001,215.923,0.0065,6.389
64,384,4,2048,51200,256,1,1,1,104.134,6.787,5.695,55.821,116.374,0.0,180.053,0.0061,5.844,0.0001,232.748,0.0062,8.787
64,448,4,2048,51200,256,1,1,1,113.235,6.719,6.484,71.735,141.373,0.0,189.834,0.0067,6.481,0.0001,282.746,0.0069,10.141
64,512,4,2048,51200,256,1,1,1,136.841,8.989,7.519,94.353,148.512,0.0001,212.018,0.0064,8.102,0.0001,297.024,0.0066,13.018
64,576,4,2048,51200,256,1,1,1,166.948,8.531,8.241,90.961,140.171,0.0001,139.028,0.0082,7.327,0.0002,280.341,0.0085,12.162
64,640,4,2048,51200,256,1,1,1,153.077,10.902,9.349,99.273,170.327,0.0001,151.796,0.008,8.721,0.0002,340.654,0.0083,14.878
64,704,4,2048,51200,256,1,1,1,147.962,10.409,9.968,108.327,158.103,0.0001,162.922,0.0085,9.375,0.0002,316.206,0.0089,16.342
64,768,4,2048,51200,256,1,1,1,164.051,13.294,11.147,150.806,180.832,0.0001,174.022,0.0082,11.008,0.0002,361.665,0.0085,19.592
64,832,4,2048,51200,256,1,1,1,181.986,12.2,11.749,125.569,182.22,0.0001,181.326,0.0088,11.512,0.0002,364.441,0.0092,20.895
64,896,4,2048,51200,256,1,1,1,181.076,14.949,12.926,129.564,192.921,0.0001,185.57,0.0087,12.949,0.0003,385.842,0.0091,23.867
64,960,4,2048,51200,256,1,1,1,188.179,14.031,13.421,146.086,204.379,0.0001,196.904,0.0091,13.672,0.0003,408.757,0.0096,25.654
64,1024,4,2048,51200,256,1,1,1,176.409,16.711,14.816,158.019,191.997,0.0001,209.891,0.0089,15.497,0.0004,383.993,0.0094,29.123
64,1088,4,2048,51200,256,1,1,1,203.211,15.031,11.286,152.09,213.925,0.0001,157.406,0.0119,12.681,0.0004,427.85,0.0125,24.491
64,1152,4,2048,51200,256,1,1,1,194.879,18.454,12.978,155.576,190.999,0.0001,172.187,0.0112,14.721,0.0005,381.997,0.0119,28.537
64,1216,4,2048,51200,256,1,1,1,209.861,18.989,12.622,173.64,215.498,0.0001,165.286,0.012,14.828,0.0004,430.996,0.0127,29.235
64,1280,4,2048,51200,256,1,1,1,215.369,19.392,14.134,182.559,211.433,0.0001,192.212,0.0114,17.012,0.0005,422.866,0.0121,33.657
64,1344,4,2048,51200,256,1,1,1,194.772,20.66,13.828,165.817,215.174,0.0001,198.83,0.0117,17.753,0.0006,430.348,0.0125,35.485
64,1408,4,2048,51200,256,1,1,1,217.078,22.381,15.698,187.273,214.14,0.0001,193.41,0.0118,18.938,0.0006,428.279,0.0127,38.133
64,1472,4,2048,51200,256,1,1,1,206.431,22.802,15.092,188.913,222.714,0.0001,179.055,0.013,18.467,0.0006,445.428,0.0139,37.673
64,1536,4,2048,51200,256,1,1,1,184.656,22.991,16.78,176.538,195.423,0.0001,195.714,0.0127,20.222,0.0008,390.846,0.0138,41.138
64,1600,4,2048,51200,256,1,1,1,226.149,24.602,15.278,199.501,226.548,0.0001,186.997,0.0136,20.172,0.0007,453.095,0.0146,41.715
64,1664,4,2048,51200,256,1,1,1,213.774,26.202,18.481,212.227,221.989,0.0001,173.907,0.014,20.895,0.0008,443.977,0.0151,43.458
64,1728,4,2048,51200,256,1,1,1,211.066,26.449,16.502,195.19,210.818,0.0001,220.893,0.0132,23.585,0.0009,421.635,0.0144,48.802
64,1792,4,2048,51200,256,1,1,1,205.521,25.966,19.502,201.615,223.26,0.0001,193.547,0.0142,23.298,0.0009,446.519,0.0154,48.83
64,1856,4,2048,51200,256,1,1,1,225.875,28.153,17.65,188.43,226.261,0.0001,164.527,0.0163,21.554,0.001,452.522,0.0175,45.778
64,1920,4,2048,51200,256,1,1,1,208.326,29.846,21.215,190.41,214.512,0.0001,170.823,0.0158,23.429,0.0011,429.024,0.0172,49.643
64,1984,4,2048,51200,256,1,1,1,217.466,20.213,18.744,199.937,231.701,0.0001,197.196,0.0165,23.708,0.0011,463.402,0.0179,50.736
64,2048,4,2048,51200,256,1,1,1,228.984,32.633,22.531,212.412,234.17,0.0002,198.18,0.015,27.399,0.0012,468.34,0.0166,57.815
64,2112,4,2048,51200,256,1,1,1,221.961,30.093,21.673,193.747,225.546,0.0002,169.734,0.0174,24.906,0.0013,451.093,0.0192,53.038
64,2176,4,2048,51200,256,1,1,1,196.991,32.257,24.744,198.389,208.475,0.0002,171.763,0.0174,26.205,0.0015,416.951,0.0194,55.597
64,2240,4,2048,51200,256,1,1,1,222.859,31.839,22.373,200.508,228.522,0.0002,171.935,0.0182,26.377,0.0014,457.043,0.0201,56.571
64,2304,4,2048,51200,256,1,1,1,204.124,36.31,25.018,194.658,213.138,0.0002,177.994,0.0178,28.227,0.0016,426.276,0.0199,60.195
64,2368,4,2048,51200,256,1,1,1,238.01,33.3,24.336,210.484,222.526,0.0002,163.487,0.0194,27.14,0.0017,445.052,0.0215,58.563
64,2432,4,2048,51200,256,1,1,1,232.112,36.258,27.395,215.268,234.751,0.0002,196.656,0.0173,31.829,0.0017,469.502,0.0194,68.228
64,2496,4,2048,51200,256,1,1,1,237.378,35.091,25.237,218.515,236.564,0.0002,163.148,0.0203,28.369,0.0017,473.128,0.0225,61.838
64,2560,4,2048,51200,256,1,1,1,226.146,39.664,27.725,219.849,215.828,0.0002,167.69,0.02,30.09,0.002,431.655,0.0225,65.034
64,2624,4,2048,51200,256,1,1,1,234.292,36.747,25.894,209.497,232.167,0.0003,166.861,0.021,29.915,0.0019,464.334,0.0234,65.335
64,2688,4,2048,51200,256,1,1,1,223.123,39.898,30.247,202.567,215.495,0.0002,180.974,0.0199,32.896,0.0022,430.99,0.0226,70.957
64,2752,4,2048,51200,256,1,1,1,217.896,38.435,27.082,195.027,230.297,0.0002,210.307,0.0191,35.592,0.0022,460.595,0.0218,76.814
64,2816,4,2048,51200,256,1,1,1,238.21,42.419,30.229,223.204,233.817,0.0002,172.976,0.0212,33.384,0.0022,467.634,0.0239,73.017
64,2880,4,2048,51200,256,1,1,1,218.706,39.958,28.301,203.876,209.057,0.0003,168.175,0.0227,32.419,0.0026,418.114,0.0258,70.603
64,2944,4,2048,51200,256,1,1,1,237.388,43.665,32.984,217.688,230.075,0.0002,146.174,0.0246,31.122,0.0025,460.15,0.0276,68.995
64,3008,4,2048,51200,256,1,1,1,228.432,41.489,29.153,227.927,224.973,0.0003,149.273,0.0254,31.298,0.0026,449.945,0.0285,69.403
64,3072,4,2048,51200,256,1,1,1,221.686,45.095,32.947,224.867,195.78,0.0002,149.432,0.0254,32.415,0.0032,391.559,0.0291,70.864
64,3136,4,2048,51200,256,1,1,1,228.581,36.647,28.788,214.198,229.862,0.0003,145.678,0.0275,31.144,0.0028,459.723,0.0308,69.684
64,3200,4,2048,51200,256,1,1,1,215.446,44.777,35.492,200.186,226.462,0.0002,151.508,0.0263,33.663,0.003,452.924,0.0298,74.825
64,3264,4,2048,51200,256,1,1,1,220.667,38.165,30.204,217.448,217.937,0.0003,177.462,0.0251,36.543,0.0032,435.874,0.0288,80.28
64,3328,4,2048,51200,256,1,1,1,228.703,47.644,35.722,227.899,222.462,0.0003,169.85,0.0251,37.842,0.0033,444.924,0.0288,83.23
64,3392,4,2048,51200,256,1,1,1,237.194,39.084,31.174,216.239,223.935,0.0003,166.798,0.0269,36.523,0.0034,447.871,0.0308,80.925
64,3456,4,2048,51200,256,1,1,1,212.527,48.172,37.822,212.116,209.061,0.0003,150.786,0.0284,35.748,0.0037,418.122,0.0326,79.051
64,3520,4,2048,51200,256,1,1,1,227.583,39.673,32.364,229.872,217.266,0.0003,151.177,0.0297,35.273,0.0037,434.531,0.034,78.644
64,3584,4,2048,51200,256,1,1,1,215.293,50.326,38.573,213.096,207.712,0.0003,156.227,0.0287,37.749,0.0041,415.423,0.0332,83.215
64,3648,4,2048,51200,256,1,1,1,140.601,40.473,32.101,231.776,220.707,0.0003,147.789,0.0331,33.708,0.004,441.415,0.0376,76.068
64,3712,4,2048,51200,256,1,1,1,224.867,51.643,41.491,240.164,228.885,0.0003,183.613,0.0263,43.766,0.0039,457.771,0.0308,96.088
64,3776,4,2048,51200,256,1,1,1,223.298,42.323,32.973,240.138,217.729,0.0003,176.19,0.0289,41.065,0.0043,435.458,0.0337,90.571
64,3840,4,2048,51200,256,1,1,1,202.528,52.722,41.187,181.223,187.205,0.0003,186.146,0.0278,44.049,0.0052,374.41,0.0335,94.324
64,3904,4,2048,51200,256,1,1,1,228.078,43.676,33.972,231.627,226.197,0.0003,148.047,0.0333,37.819,0.0044,452.393,0.0383,85.117
64,3968,4,2048,51200,256,1,1,1,225.128,53.994,42.47,234.737,215.058,0.0003,149.928,0.0323,40.142,0.0048,430.116,0.0377,89.274
64,4032,4,2048,51200,256,1,1,1,202.295,44.891,35.185,195.355,127.345,0.0003,151.053,0.0346,38.653,0.0084,254.69,0.0435,79.767
64,4096,4,2048,51200,256,1,1,1,225.152,60.469,44.672,235.083,235.441,0.0004,152.826,0.0327,42.076,0.0047,470.883,0.0382,93.494
64,4160,4,2048,51200,256,1,1,1,200.709,43.221,41.433,216.069,211.97,0.0005,147.102,0.0359,39.399,0.0054,423.939,0.0422,87.178
64,4224,4,2048,51200,256,1,1,1,217.833,54.443,46.948,237.016,218.764,0.0005,182.587,0.0303,47.965,0.0053,437.529,0.0366,103.578
64,4288,4,2048,51200,256,1,1,1,221.979,44.67,42.641,236.699,203.186,0.0005,173.322,0.0327,45.661,0.0059,406.372,0.0396,98.467
64,4352,4,2048,51200,256,1,1,1,183.07,59.381,51.597,174.646,176.085,0.0005,181.783,0.0322,47.568,0.007,352.17,0.0403,99.738
64,4416,4,2048,51200,256,1,1,1,213.436,45.14,44.076,225.245,215.367,0.0005,149.459,0.0373,42.164,0.0059,430.734,0.0443,93.253
64,4480,4,2048,51200,256,1,1,1,214.95,58.108,49.812,225.686,209.179,0.0005,150.341,0.0366,44.094,0.0063,418.358,0.0439,96.678
64,4544,4,2048,51200,256,1,1,1,219.89,44.987,45.123,232.423,203.027,0.0005,157.016,0.0371,44.675,0.0067,406.054,0.0448,97.417
64,4608,4,2048,51200,256,1,1,1,124.612,60.979,54.831,216.426,186.634,0.0005,153.051,0.0406,41.897,0.0075,373.267,0.049,91.449
64,4672,4,2048,51200,256,1,1,1,207.669,45.832,46.498,231.286,167.026,0.0005,183.476,0.0349,50.022,0.0086,334.052,0.0445,103.574
64,4736,4,2048,51200,256,1,1,1,231.094,60.71,52.937,222.915,182.38,0.0005,177.071,0.0345,51.857,0.0081,364.76,0.0435,108.584
64,4800,4,2048,51200,256,1,1,1,209.263,46.278,47.974,232.168,205.21,0.0005,177.265,0.0366,50.07,0.0074,410.419,0.045,107.878
64,4864,4,2048,51200,256,1,1,1,225.494,63.285,56.58,246.453,192.971,0.0005,161.316,0.0375,50.069,0.008,385.942,0.0465,106.996
64,4928,4,2048,51200,256,1,1,1,196.2,48.685,48.23,231.406,206.986,0.0005,175.602,0.0382,50.361,0.0077,413.971,0.0469,108.872
64,4992,4,2048,51200,256,1,1,1,223.487,63.591,55.627,229.057,188.759,0.0005,150.628,0.0407,48.347,0.0087,377.519,0.0504,103.906
64,5056,4,2048,51200,256,1,1,1,209.196,49.531,49.779,239.702,139.542,0.0005,151.189,0.0426,47.247,0.012,279.084,0.0557,96.359
