m,n,k,throughput
8192,31616,94848,161.438
8192,31744,95232,160.784
8192,31872,95616,160.479
8192,32000,96000,160.517
8192,32128,96384,160.633
8192,32256,96768,159.036
8192,32384,97152,160.37
8192,32512,97536,160.471
8192,32640,97920,155.321
8192,32768,98304,155.327
