m,n,k,throughput
8192,31616,94848,162.987
8192,31744,95232,162.169
8192,31872,95616,163.055
8192,32000,96000,163.331
8192,32128,96384,162.261
8192,32256,96768,161.42
8192,32384,97152,161.904
8192,32512,97536,162.905
8192,32640,97920,161.054
8192,32768,98304,157.063
