num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,transformer_layer_norm,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
16,3680,4,2048,51200,256,1,1,1,227.186,123.629,101.26,202.77,228.139,0.0003,183.694,0.023,49.223,0.0039,456.278,0.0275,105.96
16,3696,4,2048,51200,256,1,1,1,113.021,60.581,85.046,211.591,180.45,0.0003,181.468,0.0276,41.44,0.005,360.9,0.0331,88.679
16,3712,4,2048,51200,256,1,1,1,223.036,127.533,140.898,237.316,193.974,0.0003,148.415,0.0268,42.943,0.0047,387.947,0.032,92.428
16,3728,4,2048,51200,256,1,1,1,186.974,65.307,87.169,205.11,194.026,0.0003,187.998,0.0247,46.911,0.0047,388.051,0.03,99.511
16,3744,4,2048,51200,256,1,1,1,220.643,121.921,115.876,239.014,208.599,0.0003,195.209,0.0223,52.493,0.0044,417.198,0.0272,110.461
16,3760,4,2048,51200,256,1,1,1,185.498,70.439,85.733,210.42,180.381,0.0003,176.501,0.026,45.376,0.0051,360.761,0.0316,95.804
16,3776,4,2048,51200,256,1,1,1,232.805,130.556,144.018,239.037,213.07,0.0003,163.351,0.0252,47.082,0.0044,426.14,0.0301,101.385
16,3792,4,2048,51200,256,1,1,1,189.057,69.52,88.247,213.119,187.934,0.0003,150.072,0.0293,40.831,0.005,375.867,0.0349,88.392
16,3808,4,2048,51200,256,1,1,1,145.556,124.382,118.574,236.109,212.895,0.0003,179.536,0.0258,46.739,0.0045,425.79,0.0308,100.864
16,3824,4,2048,51200,256,1,1,1,185.954,67.05,87.216,211.243,187.555,0.0003,150.234,0.0297,40.858,0.0051,375.11,0.0354,88.553
16,3840,4,2048,51200,256,1,1,1,178.904,136.25,148.979,178.418,183.706,0.0003,185.737,0.0246,49.842,0.0053,367.412,0.0303,104.035
16,3856,4,2048,51200,256,1,1,1,192.761,64.778,89.128,196.13,174.924,0.0003,182.583,0.0262,47.072,0.0056,349.848,0.0323,98.512
16,3872,4,2048,51200,256,1,1,1,202.047,119.749,118.751,180.816,210.593,0.0003,154.678,0.0282,44.082,0.0047,421.185,0.0334,96.079
16,3888,4,2048,51200,256,1,1,1,199.69,68.863,89.131,201.725,176.476,0.0003,157.758,0.029,43.187,0.0056,352.951,0.0351,92.032
16,3904,4,2048,51200,256,1,1,1,225.937,133.517,150.474,212.949,211.03,0.0003,148.495,0.0284,44.405,0.0047,422.06,0.0337,96.802
16,3920,4,2048,51200,256,1,1,1,171.913,69.097,90.047,207.465,169.531,0.0003,200.273,0.0254,50.023,0.0059,339.061,0.0319,103.056
16,3936,4,2048,51200,256,1,1,1,227.706,111.954,118.013,227.864,214.077,0.0003,148.846,0.0289,44.211,0.0047,428.154,0.0342,96.732
16,3952,4,2048,51200,256,1,1,1,183.058,65.585,91.051,206.39,185.35,0.0003,185.261,0.0268,48.077,0.0055,370.7,0.0329,101.499
