m,n,k,throughput,b
8192,12864,2048,269.347,
8192,12928,2048,254.62,
8192,12992,2048,265.08,
8192,13056,2048,257.19,
8192,13120,2048,265.726,
8192,13184,2048,270.669,
8192,13248,2048,257.907,
8192,13312,2048,246.935,
8192,13376,2048,266.105,
8192,13440,2048,261.015,
8192,13504,2048,272.74,
8192,13568,2048,268.93,
8192,13632,2048,267.544,
8192,13696,2048,264.785,
8192,13760,2048,269.702,
8192,13824,2048,266.67,
8192,13888,2048,267.413,
8192,13952,2048,268.275,
8192,14016,2048,258.338,
8192,14080,2048,273.812,
8192,14144,2048,268.205,
8192,14208,2048,266.885,
8192,14272,2048,269.888,
8192,14336,2048,247.467,
8192,14400,2048,263.701,
8192,14464,2048,259.402,
8192,14528,2048,261.804,
8192,14592,2048,241.7,
8192,14656,2048,265.181,
8192,14720,2048,262.456,
8192,14784,2048,260.3,
8192,14848,2048,265.02,
8192,14912,2048,261.916,
8192,14976,2048,256.31,
8192,15040,2048,264.374,
8192,15104,2048,257.189,
8192,15168,2048,249.194,
8192,15232,2048,261.128,
8192,15296,2048,260.31,
8192,15360,2048,241.498,
8192,15424,2048,260.135,
8192,15488,2048,259.898,
8192,15552,2048,250.874,
8192,15616,2048,254.817,
8192,15680,2048,252.852,
8192,15744,2048,264.341,
8192,15808,2048,255.751,
8192,15872,2048,263.474,
8192,15936,2048,262.738,
8192,16000,2048,266.294,
8192,16064,2048,265.234,
8192,16128,2048,246.549,
8192,16192,2048,264.247,
8192,16256,2048,254.86,
8192,16320,2048,256.765,
8192,16384,2048,258.704,
8192,16448,2048,260.913,
8192,16512,2048,260.745,
8192,16576,2048,259.537,
8192,16640,2048,244.957,
8192,16704,2048,256.073,
8192,16768,2048,252.287,
8192,16832,2048,261.718,
8192,16896,2048,256.653,
8192,16960,2048,253.756,
8192,17024,2048,250.945,
8192,17088,2048,258.13,
8192,17152,2048,262.423,
8192,17216,2048,255.255,
8192,17280,2048,259.024,
8192,17344,2048,252.538,
8192,17408,2048,240.321,
8192,17472,2048,252.926,
8192,17536,2048,254.503,
8192,17600,2048,254.823,
8192,17664,2048,260.929,
8192,17728,2048,261.635,
8192,17792,2048,258.138,
8192,17856,2048,248.057,
8192,17920,2048,251.218,
8192,17984,2048,253.735,
8192,18048,2048,257.059,
8192,18112,2048,255.868,
8192,18176,2048,252.469,
8192,18240,2048,258.059,
8192,18304,2048,248.946,
8192,18368,2048,251.677,
8192,18432,2048,238.403,
8192,18496,2048,250.615,
8192,18560,2048,257.284,
8192,18624,2048,253.784,
8192,18688,2048,257.56,
8192,18752,2048,257.781,
8192,18816,2048,243.656,
8192,18880,2048,244.802,
8192,18944,2048,255.005,
8192,19008,2048,242.651,
8192,19072,2048,251.024,
8192,19136,2048,258.935,
8192,19200,2048,258.393,
8192,19264,2048,251.515,
8192,19328,2048,249.208,
8192,19392,2048,245.609,
8192,19456,2048,239.379,
8192,19520,2048,255.048,
8192,19584,2048,256.876,
8192,19648,2048,253.49,
8192,19712,2048,256.025,
8192,19776,2048,244.76,
8192,19840,2048,255.731,
8192,19904,2048,248.344,
8192,19968,2048,253.011,
