num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,transformer_layer_norm,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
8,8,4,2048,51200,256,1,1,1,0.042,0.998,0.878,0.022,0.089,0.0,7.093,0.0016,0.329,0.0,0.177,0.0018,0.311
8,16,4,2048,51200,256,1,1,1,0.27,2.406,1.943,0.089,0.358,0.0,14.094,0.0015,0.706,0.0,0.716,0.0017,0.672
8,24,4,2048,51200,256,1,1,1,0.605,2.934,2.448,0.199,0.801,0.0,18.585,0.0018,0.926,0.0,1.602,0.0019,0.895
8,32,4,2048,51200,256,1,1,1,1.1,4.835,3.895,0.344,1.41,0.0,24.152,0.0017,1.3,0.0,2.82,0.0019,1.27
8,40,4,2048,51200,256,1,1,1,1.661,4.822,4.069,0.539,2.174,0.0,28.138,0.0019,1.471,0.0,4.347,0.002,1.479
8,48,4,2048,51200,256,1,1,1,2.676,6.926,5.711,0.805,3.178,0.0,33.73,0.0018,1.876,0.0,6.355,0.0019,1.889
8,56,4,2048,51200,256,1,1,1,3.271,6.736,5.614,1.072,4.289,0.0,39.22,0.0019,2.079,0.0,8.578,0.002,2.149
8,64,4,2048,51200,256,1,1,1,4.331,9.594,7.703,1.387,5.697,0.0,44.611,0.0018,2.534,0.0,11.394,0.0019,2.645
8,72,4,2048,51200,256,1,1,1,5.389,8.604,7.107,1.601,7.347,0.0,55.521,0.0018,2.859,0.0,14.695,0.0019,3.009
8,80,4,2048,51200,256,1,1,1,6.78,11.271,9.223,2.192,7.395,0.0,60.69,0.0017,3.347,0.0001,14.79,0.0019,3.551
8,88,4,2048,51200,256,1,1,1,8.023,10.761,8.606,2.734,10.957,0.0,66.543,0.0018,3.522,0.0,21.913,0.0019,3.814
8,96,4,2048,51200,256,1,1,1,9.847,13.129,11.295,3.167,12.562,0.0,71.545,0.0017,4.027,0.0,25.124,0.0019,4.391
8,104,4,2048,51200,256,1,1,1,11.263,12.263,10.128,3.692,15.069,0.0,76.42,0.0019,4.12,0.0,30.138,0.002,4.568
8,112,4,2048,51200,256,1,1,1,13.545,15.55,12.584,4.218,15.737,0.0,83.534,0.0018,4.74,0.0001,31.473,0.0019,5.276
8,120,4,2048,51200,256,1,1,1,15.15,14.091,11.578,4.696,19.694,0.0,87.992,0.0019,4.8,0.0,39.387,0.002,5.435
8,128,4,2048,51200,256,1,1,1,15.183,17.866,15.287,5.501,50.84,0.0,92.456,0.0018,5.415,0.0,101.68,0.0019,6.261
8,136,4,2048,51200,256,1,1,1,19.492,17.265,10.779,5.688,26.26,0.0,89.566,0.0021,5.016,0.0,52.52,0.0022,5.832
8,144,4,2048,51200,256,1,1,1,21.704,18.857,13.304,7.347,28.454,0.0,94.131,0.002,5.523,0.0,56.908,0.0021,6.463
8,152,4,2048,51200,256,1,1,1,18.459,19.226,12.015,4.46,32.859,0.0,99.54,0.0021,5.533,0.0,65.718,0.0023,6.543
8,160,4,2048,51200,256,1,1,1,38.084,20.893,14.516,8.886,48.999,0.0,104.155,0.002,6.221,0.0,97.998,0.0021,7.471
8,168,4,2048,51200,256,1,1,1,29.144,21.091,13.268,9.634,38.535,0.0,109.867,0.0021,6.339,0.0,77.07,0.0022,7.648
8,176,4,2048,51200,256,1,1,1,50.887,22.961,16.164,10.826,45.804,0.0,115.171,0.002,6.986,0.0,91.608,0.0021,8.488
8,184,4,2048,51200,256,1,1,1,35.376,23.33,14.639,12.294,70.933,0.0,119.053,0.0021,7.02,0.0,141.866,0.0022,8.685
8,192,4,2048,51200,256,1,1,1,30.199,24.672,17.656,13.434,55.821,0.0,126.43,0.002,7.632,0.0,111.641,0.0021,9.464
8,200,4,2048,51200,256,1,1,1,40.488,24.951,14.32,14.397,55.072,0.0,126.655,0.0022,7.44,0.0,110.145,0.0023,9.325
8,208,4,2048,51200,256,1,1,1,37.333,26.885,19.157,12.48,84.587,0.0,131.111,0.0021,8.119,0.0,169.174,0.0022,10.296
8,216,4,2048,51200,256,1,1,1,45.429,26.717,15.503,17.31,60.285,0.0,135.227,0.0022,8.077,0.0001,120.57,0.0023,10.282
8,224,4,2048,51200,256,1,1,1,53.244,28.265,20.054,18.482,69.433,0.0,141.922,0.0021,8.913,0.0,138.865,0.0022,11.449
8,232,4,2048,51200,256,1,1,1,50.334,28.628,16.574,15.906,66.205,0.0001,143.513,0.0022,8.658,0.0001,132.41,0.0024,11.017
8,240,4,2048,51200,256,1,1,1,59.578,30.311,21.907,20.953,68.684,0.0,150.181,0.0021,9.621,0.0001,137.368,0.0022,12.471
8,248,4,2048,51200,256,1,1,1,61.344,30.433,17.717,22.176,62.98,0.0,156.044,0.0022,9.522,0.0001,125.96,0.0023,12.411
8,256,4,2048,51200,256,1,1,1,69.184,35.067,23.661,24.097,108.899,0.0,159.593,0.002,10.503,0.0,217.798,0.0022,13.891
8,264,4,2048,51200,256,1,1,1,60.397,30.487,20.826,16.559,67.171,0.0,120.405,0.0027,8.312,0.0001,134.341,0.0028,11.05
8,272,4,2048,51200,256,1,1,1,65.404,33.03,25.052,26.77,75.76,0.0001,134.256,0.0024,9.464,0.0001,151.519,0.0026,12.579
