num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,transformer_layer_norm,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
40,40,4,2048,51200,256,1,1,1,1.005,0.998,0.943,0.496,2.061,0.0,28.022,0.0041,0.681,0.0001,4.122,0.0042,0.71
40,80,4,2048,51200,256,1,1,1,6.383,2.352,1.897,2.058,8.154,0.0,60.185,0.0038,1.535,0.0001,16.308,0.0039,1.699
40,120,4,2048,51200,256,1,1,1,15.124,2.924,2.748,4.843,24.323,0.0,87.055,0.0041,2.198,0.0,48.645,0.0042,2.572
40,160,4,2048,51200,256,1,1,1,27.402,4.622,3.749,9.134,33.989,0.0,104.838,0.004,3.131,0.0,67.979,0.0041,3.833
40,200,4,2048,51200,256,1,1,1,37.809,4.81,4.545,13.277,50.724,0.0,127.564,0.0043,3.741,0.0001,101.449,0.0044,4.814
40,240,4,2048,51200,256,1,1,1,51.967,6.752,5.6,19.181,70.322,0.0,153.142,0.004,4.91,0.0001,140.644,0.0042,6.562
40,280,4,2048,51200,256,1,1,1,60.666,6.682,6.299,26.452,71.203,0.0,131.713,0.0048,4.992,0.0001,142.406,0.005,6.899
40,320,4,2048,51200,256,1,1,1,103.819,8.978,7.419,28.689,121.048,0.0,150.462,0.0045,6.216,0.0001,242.095,0.0047,8.883
40,360,4,2048,51200,256,1,1,1,75.048,8.518,8.034,42.535,91.288,0.0001,162.255,0.0049,6.64,0.0001,182.577,0.0051,9.665
40,400,4,2048,51200,256,1,1,1,93.091,10.933,9.183,52.597,111.932,0.0,176.105,0.0047,7.894,0.0001,223.863,0.0049,11.854
40,440,4,2048,51200,256,1,1,1,91.781,10.389,9.736,87.72,118.268,0.0,188.408,0.005,8.382,0.0001,236.536,0.0052,12.89
40,480,4,2048,51200,256,1,1,1,115.557,13.122,11.004,76.476,129.365,0.0,200.11,0.0049,9.754,0.0001,258.73,0.0051,15.301
40,520,4,2048,51200,256,1,1,1,108.301,12.176,11.468,58.231,108.213,0.0001,120.173,0.0068,7.757,0.0002,216.426,0.0071,12.414
40,560,4,2048,51200,256,1,1,1,125.114,15.005,12.732,70.192,123.629,0.0001,134.464,0.0064,9.058,0.0002,247.258,0.0067,14.744
40,600,4,2048,51200,256,1,1,1,113.836,13.993,13.12,68.905,140.101,0.0001,142.829,0.0067,9.477,0.0002,280.201,0.0071,15.743
40,640,4,2048,51200,256,1,1,1,159.277,16.611,14.635,90.688,161.786,0.0001,149.823,0.0065,10.665,0.0002,323.572,0.0069,18.022
40,680,4,2048,51200,256,1,1,1,125.098,15.01,11.121,82.276,131.027,0.0001,164.426,0.0073,10.381,0.0002,262.053,0.0077,17.746
40,720,4,2048,51200,256,1,1,1,130.268,18.398,12.871,98.578,147.507,0.0001,163.333,0.0072,11.478,0.0002,295.014,0.0076,19.872
40,760,4,2048,51200,256,1,1,1,120.83,18.969,12.374,98.087,146.13,0.0001,172.176,0.0074,11.944,0.0003,292.261,0.0079,20.932
40,800,4,2048,51200,256,1,1,1,165.009,19.216,13.938,111.836,166.758,0.0001,167.354,0.0076,12.554,0.0003,333.517,0.008,22.375
40,840,4,2048,51200,256,1,1,1,139.71,20.831,13.582,118.74,146.373,0.0001,174.673,0.0078,13.142,0.0003,292.746,0.0083,23.57
40,880,4,2048,51200,256,1,1,1,146.217,22.501,15.529,120.332,162.747,0.0001,174.726,0.0078,14.07,0.0003,325.494,0.0083,25.506
40,920,4,2048,51200,256,1,1,1,131.42,22.649,14.793,116.104,158.087,0.0001,199.012,0.0078,15.097,0.0004,316.175,0.0083,27.599
40,960,4,2048,51200,256,1,1,1,179.471,22.901,16.616,137.769,205.547,0.0001,196.739,0.0078,16.002,0.0003,411.094,0.0083,29.767
40,1000,4,2048,51200,256,1,1,1,160.209,24.531,15.117,125.567,147.923,0.0001,192.022,0.0084,15.804,0.0004,295.847,0.009,29.325
40,1040,4,2048,51200,256,1,1,1,158.752,26.076,18.246,140.375,178.602,0.0001,141.405,0.0099,14.236,0.0004,357.205,0.0105,26.83
40,1080,4,2048,51200,256,1,1,1,129.17,26.336,16.196,117.79,169.357,0.0001,146.817,0.0104,14.332,0.0005,338.715,0.0111,27.208
40,1120,4,2048,51200,256,1,1,1,190.016,25.929,19.196,170.472,190.086,0.0001,156.709,0.0098,15.981,0.0004,380.172,0.0105,30.55
40,1160,4,2048,51200,256,1,1,1,150.562,27.993,17.411,126.995,150.302,0.0001,156.885,0.0104,15.901,0.0006,300.604,0.0113,30.35
40,1200,4,2048,51200,256,1,1,1,177.337,29.643,20.911,155.462,179.989,0.0001,160.347,0.0101,17.295,0.0005,359.978,0.0109,33.386
40,1240,4,2048,51200,256,1,1,1,167.026,29.721,18.534,134.343,159.807,0.0001,166.375,0.0105,17.461,0.0006,319.615,0.0114,33.744
40,1280,4,2048,51200,256,1,1,1,207.169,32.504,22.258,171.634,204.164,0.0001,176.245,0.0099,19.545,0.0005,408.329,0.0107,38.272
40,1320,4,2048,51200,256,1,1,1,152.671,29.94,21.659,132.952,166.983,0.0001,167.715,0.0109,18.599,0.0007,333.967,0.0118,36.405
40,1360,4,2048,51200,256,1,1,1,171.946,31.599,24.483,150.197,182.641,0.0001,192.402,0.01,21.316,0.0007,365.283,0.0109,41.773
40,1400,4,2048,51200,256,1,1,1,168.07,31.7,22.798,140.944,166.043,0.0001,169.086,0.0113,19.701,0.0008,332.085,0.0123,38.896
40,1440,4,2048,51200,256,1,1,1,208.139,36.153,24.822,171.447,208.224,0.0001,175.278,0.0109,21.407,0.0007,416.448,0.0118,42.844
40,1480,4,2048,51200,256,1,1,1,154.634,33.281,24.061,147.467,165.869,0.0001,178.106,0.0115,21.181,0.0009,331.739,0.0126,42.09
40,1520,4,2048,51200,256,1,1,1,186.287,36.156,27.095,180.945,194.201,0.0001,178.803,0.0112,22.54,0.0008,388.401,0.0123,45.292
