num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,transformer_layer_norm,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
32,32,4,2048,51200,256,1,1,1,0.674,0.999,0.937,0.342,1.391,0.0,24.341,0.0034,0.642,0.0,2.782,0.0036,0.658
32,64,4,2048,51200,256,1,1,1,4.377,2.348,1.879,1.353,5.483,0.0,44.282,0.0034,1.356,0.0,10.966,0.0035,1.462
32,96,4,2048,51200,256,1,1,1,9.796,2.911,2.674,3.221,12.796,0.0,71.841,0.0035,1.999,0.0,25.592,0.0037,2.261
32,128,4,2048,51200,256,1,1,1,24.256,4.606,3.73,5.447,23.061,0.0,93.136,0.0033,2.911,0.0,46.123,0.0034,3.428
32,160,4,2048,51200,256,1,1,1,25.658,4.787,4.428,8.567,35.306,0.0,104.851,0.0037,3.345,0.0,70.611,0.0038,4.101
32,192,4,2048,51200,256,1,1,1,37.875,6.74,5.544,12.562,50.416,0.0,124.345,0.0035,4.36,0.0,100.831,0.0036,5.538
32,224,4,2048,51200,256,1,1,1,48.934,6.697,6.138,18.89,61.904,0.0,142.525,0.0038,4.874,0.0001,123.808,0.0039,6.401
32,256,4,2048,51200,256,1,1,1,62.524,8.911,7.214,15.41,78.952,0.0001,163.401,0.0036,5.982,0.0001,157.903,0.0037,8.025
32,288,4,2048,51200,256,1,1,1,71.979,8.522,7.795,28.359,78.826,0.0,135.934,0.0043,5.819,0.0001,157.651,0.0044,8.069
32,320,4,2048,51200,256,1,1,1,81.39,10.957,9.101,35.849,100.825,0.0,147.817,0.0041,6.901,0.0001,201.649,0.0042,9.815
32,352,4,2048,51200,256,1,1,1,81.681,10.372,9.453,58.335,97.131,0.0,154.927,0.0044,7.209,0.0001,194.263,0.0046,10.482
