num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,transformer_layer_norm,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
80,80,4,2048,51200,256,1,1,1,6.212,1.01,0.953,2.272,9.008,0.0,60.354,0.0067,0.866,0.0,18.017,0.0068,0.974
80,160,4,2048,51200,256,1,1,1,46.673,2.37,1.933,9.039,48.321,0.0,105.431,0.0064,1.943,0.0,96.643,0.0065,2.427
80,240,4,2048,51200,256,1,1,1,52.585,2.937,2.851,20.409,81.92,0.0,151.83,0.007,2.843,0.0,163.84,0.0071,3.852
80,320,4,2048,51200,256,1,1,1,81.075,4.643,3.832,36.409,90.007,0.0,149.025,0.007,4.013,0.0001,180.013,0.0072,5.79
80,400,4,2048,51200,256,1,1,1,93.712,4.834,4.706,56.206,130.42,0.0,177.087,0.0077,4.877,0.0001,260.84,0.0078,7.448
80,480,4,2048,51200,256,1,1,1,118.063,6.811,5.705,57.897,128.31,0.0,195.334,0.0074,6.385,0.0001,256.62,0.0076,10.17
80,560,4,2048,51200,256,1,1,1,140.948,6.734,6.544,67.393,130.473,0.0001,134.884,0.0093,6.231,0.0002,260.946,0.0096,10.303
80,640,4,2048,51200,256,1,1,1,142.1,9.008,7.558,116.347,156.796,0.0001,154.465,0.0089,7.842,0.0002,313.593,0.0092,13.405
80,720,4,2048,51200,256,1,1,1,129.368,8.504,8.3,98.395,146.641,0.0001,168.966,0.0096,8.564,0.0002,293.283,0.01,15.043
80,800,4,2048,51200,256,1,1,1,163.296,10.855,9.37,109.592,163.228,0.0001,165.094,0.0097,9.868,0.0003,326.456,0.0101,17.78
80,880,4,2048,51200,256,1,1,1,137.671,10.36,10.077,119.606,165.033,0.0001,179.544,0.0103,10.687,0.0003,330.067,0.0107,19.682
80,960,4,2048,51200,256,1,1,1,178.791,13.103,11.189,138.173,191.569,0.0001,185.791,0.01,12.439,0.0003,383.139,0.0105,23.388
80,1040,4,2048,51200,256,1,1,1,158.034,12.138,11.808,124.445,180.826,0.0001,150.508,0.0121,11.621,0.0004,361.652,0.0127,22.167
80,1120,4,2048,51200,256,1,1,1,188.667,14.979,12.993,146.633,187.931,0.0001,154.227,0.012,13.158,0.0004,375.861,0.0126,25.439
80,1200,4,2048,51200,256,1,1,1,178.698,13.956,13.592,139.901,179.006,0.0001,164.948,0.0125,13.975,0.0005,358.012,0.0133,27.356
80,1280,4,2048,51200,256,1,1,1,200.365,16.643,14.864,170.934,202.257,0.0001,191.286,0.0116,16.601,0.0005,404.514,0.0124,32.86
80,1360,4,2048,51200,256,1,1,1,172.207,17.062,11.316,150.197,177.693,0.0001,174.756,0.014,15.215,0.0007,355.387,0.0149,30.53
80,1440,4,2048,51200,256,1,1,1,209.508,18.524,13.099,169.327,208.071,0.0001,177.825,0.0138,16.878,0.0007,416.142,0.0147,34.345
80,1520,4,2048,51200,256,1,1,1,179.367,18.912,12.561,167.375,185.157,0.0001,185.983,0.0145,17.511,0.0008,370.315,0.0155,35.781
80,1600,4,2048,51200,256,1,1,1,212.549,19.467,14.084,188.525,212.305,0.0001,178.491,0.0149,18.461,0.0008,424.611,0.016,38.278
80,1680,4,2048,51200,256,1,1,1,185.622,20.758,13.818,128.593,189.704,0.0001,190.148,0.0153,19.441,0.001,379.408,0.0166,40.341
80,1760,4,2048,51200,256,1,1,1,211.088,22.376,15.839,196.588,221.138,0.0001,191.604,0.0151,21.333,0.0009,442.275,0.0162,44.789
80,1840,4,2048,51200,256,1,1,1,191.91,22.638,15.107,157.513,187.132,0.0001,165.429,0.0174,19.89,0.0012,374.264,0.0188,41.937
80,1920,4,2048,51200,256,1,1,1,197.19,22.962,16.866,187.851,205.519,0.0001,163.289,0.0177,20.894,0.0012,411.038,0.0192,44.538
80,2000,4,2048,51200,256,1,1,1,182.125,24.417,15.36,173.559,203.326,0.0001,184.451,0.0177,22.431,0.0013,406.652,0.0192,47.873
80,2080,4,2048,51200,256,1,1,1,195.408,26.162,18.563,177.138,215.295,0.0002,198.643,0.0167,25.337,0.0013,430.59,0.0185,53.516
80,2160,4,2048,51200,256,1,1,1,191.256,26.2,16.559,164.602,200.686,0.0003,173.909,0.0192,23.444,0.0015,401.371,0.0213,49.956
80,2240,4,2048,51200,256,1,1,1,208.453,26.049,19.49,190.262,214.218,0.0002,176.566,0.019,25.22,0.0015,428.436,0.021,54.069
80,2320,4,2048,51200,256,1,1,1,193.434,26.412,17.747,160.29,181.086,0.0002,179.736,0.0201,25.321,0.0019,362.172,0.0225,53.901
80,2400,4,2048,51200,256,1,1,1,215.395,29.65,21.296,198.094,212.176,0.0002,197.66,0.0185,29.152,0.0018,424.353,0.0207,62.346
80,2480,4,2048,51200,256,1,1,1,201.569,29.639,18.872,180.77,189.129,0.0002,167.049,0.0217,26.211,0.0021,378.259,0.0244,56.481
80,2560,4,2048,51200,256,1,1,1,217.157,32.751,22.521,207.19,219.93,0.0002,162.446,0.0217,27.763,0.002,439.86,0.0241,60.603
80,2640,4,2048,51200,256,1,1,1,191.568,29.929,21.722,182.133,188.414,0.0002,170.149,0.0225,28.214,0.0024,376.827,0.0254,60.97
80,2720,4,2048,51200,256,1,1,1,223.348,31.971,24.64,203.737,213.633,0.0003,166.414,0.0225,29.672,0.0023,427.266,0.0253,64.796
80,2800,4,2048,51200,256,1,1,1,196.008,31.485,22.389,191.786,191.803,0.0003,169.004,0.0237,29.59,0.0027,383.606,0.0269,64.29
80,2880,4,2048,51200,256,1,1,1,206.194,36.23,24.934,196.608,204.68,0.0003,144.926,0.0259,28.47,0.0027,409.361,0.029,62.805
80,2960,4,2048,51200,256,1,1,1,191.359,33.236,24.113,187.932,183.165,0.0003,146.464,0.0271,28.545,0.0031,366.33,0.0307,62.55
80,3040,4,2048,51200,256,1,1,1,226.795,35.882,27.575,210.181,220.824,0.0003,149.935,0.0263,30.817,0.0027,441.647,0.0295,68.461
80,3120,4,2048,51200,256,1,1,1,183.023,34.643,24.918,167.179,189.021,0.0003,147.489,0.0285,29.692,0.0034,378.042,0.0324,65.47
80,3200,4,2048,51200,256,1,1,1,222.337,39.294,27.604,211.662,220.503,0.0003,149.588,0.0276,32.068,0.003,441.007,0.0312,71.483
80,3280,4,2048,51200,256,1,1,1,193.829,36.057,25.583,199.721,183.072,0.0003,190.618,0.0254,36.425,0.0039,366.145,0.0298,78.44
80,3360,4,2048,51200,256,1,1,1,223.277,39.516,30.09,209.279,210.235,0.0003,151.372,0.0286,33.767,0.0035,420.47,0.0326,74.935
80,3440,4,2048,51200,256,1,1,1,177.904,37.832,26.887,179.893,176.886,0.0003,172.259,0.0284,35.382,0.0044,353.773,0.0334,76.674
80,3520,4,2048,51200,256,1,1,1,219.265,42.494,30.34,219.114,211.357,0.0003,152.61,0.0297,35.265,0.0038,422.714,0.0341,78.385
